rank,label,headline,score_mu,score_sigma,score_95ci
1,G0,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,42.57,3.36,6.59
2,G19,City grants ALCOSAN underground land access for a major sewer project.,42.49,2.35,4.6
3,G25,Legislation to increase paid sick days for workers advances to a public hearing.,40.72,2.27,4.46
4,G21,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,38.46,2.2,4.3
5,G24,"City approves $40,000 contract for immigration legal services.",38.37,2.23,4.37
6,G13,"$37,000 grant approved for old sexual assault case investigations.",38.05,2.22,4.36
7,G12,"Council approves sale of 14 city-owned lots in Larimer for $26,677.",34.75,1.98,3.88
8,G20,Council schedules hearing on aging public safety vehicles.,32.49,2.11,4.13
9,G27,Six new bus shelters will be built in Hazelwood at no cost to the city.,32.07,1.94,3.8
10,G15,New ordinance clarifies which streets and at what times residential parking permits will be enforced.,30.79,1.93,3.79
11,G26,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,30.37,1.96,3.84
12,G16,More streets in the South Side Flats added to residential permit parking zone.,28.9,1.98,3.88
13,G6,City seeks temporary construction easements for the Smithfield Street repair project.,28.08,1.98,3.88
14,G9,Council designates Donny's Place historic over owner and commission objections.,28.06,1.99,3.91
15,G17,Council approves sewer connection for new Walnut McKee Apartments.,27.99,1.99,3.9
16,G2,City's official sewage plan to be updated for new Hermitage Street development.,27.97,2.28,4.46
17,G8,Proposed ordinance would allow residents to create native plant gardens.,26.48,1.97,3.87
18,G10,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,25.33,2.0,3.92
19,G11,City Council rescinds sale of 136 Bodkin Street.,24.35,1.97,3.87
20,G14,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",24.03,2.03,3.97
21,G7,Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,22.7,2.04,4.01
22,G18,Council approves sewer plan for new Josephine Street Townhomes.,21.8,2.27,4.46
23,G5,Council proposes eleven contracts with five vendors for on-call special events services.,19.6,2.19,4.3
24,G22,Council holds proposed sale of Itin Street property for one week.,17.28,2.32,4.56
25,G29,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,17.23,2.45,4.81
26,G4,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",14.05,2.44,4.79
27,G23,"$33,292 transfer for council staff tuition reimbursement is held for six weeks.",12.84,2.63,5.15
28,G1,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,11.08,2.98,5.84
29,G3,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",9.69,2.72,5.32
30,G28,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,8.83,2.92,5.73
