rank,label,headline,score_mu,score_sigma,score_95ci
1,G0,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,40.68,2.9,5.69
2,G17,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,37.98,2.56,5.03
3,G7,City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.,37.92,2.66,5.21
4,G21,City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,35.04,2.33,4.56
5,G2,"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases.",34.44,2.38,4.67
6,G3,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,33.64,2.31,4.53
7,G14,City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,33.54,2.18,4.28
8,G28,Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,30.54,2.04,4.0
9,G20,"Council approves an additional $382,513 for the Haverhill stormwater and road project.",30.34,2.0,3.92
10,G1,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",26.66,2.09,4.09
11,G18,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",26.45,1.86,3.65
12,G26,"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.",25.78,1.8,3.52
13,G16,"City Council accepts a $250,000 state grant for the Smallman Street project.",25.39,1.86,3.64
14,G19,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",25.11,1.89,3.71
15,G32,Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,24.84,1.8,3.53
16,G34,Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,23.95,1.83,3.59
17,G11,City Council receives the Mayor's annual Vision Zero memo.,23.8,1.87,3.66
18,G9,University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.,23.42,1.86,3.65
19,G31,The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,22.62,1.8,3.53
20,G6,"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.",20.79,1.86,3.64
21,G25,Proposed EMS student training partnership with the community college is held in committee.,19.77,1.82,3.57
22,G15,"City Council approves $32,750 contract for police recruitment videos.",19.42,1.89,3.7
23,G12,"City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge.",18.68,1.87,3.67
24,G8,"Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project.",18.2,1.91,3.74
25,G30,"Council recommends paying a $72,500 debt for 811 damage prevention calls.",17.71,1.87,3.67
26,G27,"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",17.36,1.91,3.74
27,G5,Council refers sewage plan for new South Side townhome development to committee.,14.34,2.07,4.05
28,G23,Council delays decision on sale of 23rd Ward property.,13.45,2.03,3.98
29,G13,City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.,12.57,1.95,3.82
30,G33,"Council recommends selling a URA-owned lot on Island Avenue for $3,600.",11.48,2.12,4.15
31,G22,Council delays vote on canceling a property sale for one week.,11.29,2.04,4.0
32,G4,Council reviews a sewage plan update for a new apartment building on McKee Place.,10.15,2.33,4.57
33,G29,"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",9.21,2.17,4.24
34,G24,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",6.65,2.33,4.57
35,G10,City Council receives a weekly status update from the Grants Office.,5.27,2.46,4.83
