rank,label,headline,score_mu,score_sigma,score_95ci
1,O21,Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,45.83,2.83,5.55
2,O20,"Council schedules special meeting to address EMS, fire, and police fleet issues",42.28,2.72,5.32
3,O25,Council holds Bill 1736 on paid sick leave accrual rates for public hearing,40.98,2.28,4.48
4,O12,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,38.37,2.27,4.46
5,O0,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,38.33,3.03,5.95
6,O24,"Council approves $40,000 contract for immigration legal services with Fragomen firm",37.46,2.22,4.34
7,O5,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",34.7,2.22,4.36
8,O8,Council introduces ordinance allowing residents to plant and maintain managed natural landscapes,34.67,2.1,4.12
9,O26,Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,32.69,2.06,4.04
10,O19,"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200",32.32,2.09,4.1
11,O14,Council approves grant application and city funding for Emerald View Trail rehabilitation project,31.85,2.05,4.02
12,O27,City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,31.55,2.07,4.06
13,O13,"Council approves $37,000 grant agreement to support police investigations and training",30.91,2.0,3.92
14,O16,Council approves expansion of Residential Permit Parking Area KK in South Side Flats,28.02,2.05,4.03
15,O9,Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition,26.92,1.99,3.9
16,O15,Council approves clearer rules for residential parking permit signage,26.01,2.03,3.98
17,O29,Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street,25.44,2.04,4.01
18,O18,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City,24.94,2.04,4.0
19,O6,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,24.81,2.01,3.94
20,O17,City Council approves sewage plan revision for 296 McKee Place at no cost to the City,22.93,2.12,4.15
21,O11,Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,21.42,2.19,4.28
22,O22,City Council holds resolution for sale of 23rd Ward property for one week,20.06,2.21,4.33
23,O7,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city,19.28,2.21,4.34
24,O23,"City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks",18.95,2.24,4.4
25,O2,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city,18.83,2.3,4.5
26,O3,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",16.68,2.39,4.69
27,O10,Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,12.82,2.96,5.81
28,O1,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,11.5,2.73,5.35
29,O4,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",11.21,3.2,6.27
30,O28,City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City,9.06,2.98,5.85
