rank,label,headline,score_mu,score_sigma,score_95ci
1,O17,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,44.35,3.05,5.98
2,O16,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,40.46,2.76,5.41
3,O18,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,39.7,2.53,4.95
4,O0,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,39.1,2.82,5.54
5,O31,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,36.37,2.25,4.41
6,O14,Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,35.96,2.42,4.74
7,O7,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,35.27,2.34,4.59
8,O20,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs",30.68,2.08,4.09
9,O34,Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,30.57,2.0,3.91
10,O1,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,30.11,2.17,4.25
11,O32,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,29.67,1.91,3.75
12,O2,"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training",29.24,2.2,4.32
13,O26,"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",28.55,1.96,3.85
14,O9,Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,27.79,1.95,3.82
15,O25,Council holds decision on EMS student training agreement with Community College of Allegheny County,26.71,1.89,3.7
16,O8,"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding",25.27,1.89,3.7
17,O28,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,25.14,1.87,3.66
18,O33,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,24.05,1.93,3.78
19,O19,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",23.7,1.87,3.66
20,O12,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",23.02,1.89,3.7
21,O6,"City approves easements for underground tunnels on nine city properties with $8,200 payment",20.59,1.9,3.72
22,O30,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",20.55,1.91,3.74
23,O11,Mayor Gainey’s Vision Zero Annual Memo is received and filed by City Council,19.57,1.91,3.74
24,O21,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city,18.51,1.94,3.81
25,O3,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,17.05,1.99,3.91
26,O22,Council holds resolution to rescind 2022 property sale for one week,16.76,1.99,3.91
27,O23,City Council holds resolution on sale of 23rd Ward property for two weeks,15.74,2.03,3.99
28,O13,"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",15.26,1.98,3.87
29,O27,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",14.72,2.07,4.06
30,O15,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",13.05,2.09,4.11
31,O24,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",11.51,2.17,4.25
32,O4,Council adopts sewage plan revision for 296 McKee Place at no cost to the city,10.54,2.26,4.44
33,O29,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",8.9,2.3,4.5
34,O5,Council adopts sewage plan revision for 215 South 21st Street at no cost to city,8.25,2.48,4.85
35,O10,Council receives weekly Grants Office status update from Office of Management and Budget,6.46,2.61,5.11
