rank,label,headline,score_mu,score_sigma,score_95ci
1,O24,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,44.79,2.62,5.14
2,O17,Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,41.94,2.35,4.61
3,O2,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,41.27,2.85,5.59
4,O23,Council approves amended grant and funding for Smallman Street Complete Street Project,40.54,2.3,4.51
5,O20,Council approves $1.06 million increase for Liberty Avenue project with new federal funding,38.03,2.24,4.39
6,O26,Council amends and holds zoning map changes for public hearing in Bakery Square area,37.45,2.24,4.38
7,O25,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project,37.43,2.22,4.35
8,O29,"Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77",33.86,2.13,4.17
9,O3,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property,32.8,2.27,4.44
10,O6,"Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending",31.82,2.15,4.22
11,O28,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety",31.7,2.06,4.03
12,O14,"Council approves $125,000 transfer for new recycling vehicles through state grant",31.03,2.09,4.1
13,O10,Council approves 56 additional open-end professional services agreements with vendors,28.34,2.07,4.06
14,O16,Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City,28.13,2.08,4.07
15,O21,Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review,27.21,2.1,4.12
16,O18,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",26.97,2.15,4.21
17,O1,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",25.29,2.19,4.29
18,O5,"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500",24.72,2.12,4.16
19,O15,"City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025",23.74,2.15,4.21
20,O30,Council approves agreement with PennDOT to share in-kind services at no cost to city,23.35,2.09,4.09
21,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",21.85,2.23,4.37
22,O12,"Council approves $35,025 payment to United Rentals for portable restrooms in city parks",20.32,2.24,4.39
23,O4,"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs",18.05,2.32,4.55
24,O19,City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract,17.9,2.37,4.65
25,O8,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts",17.0,2.34,4.59
26,O27,Council holds resolution on cooperation agreement for Downing Street steps for six weeks,14.83,2.44,4.78
27,O22,"Council approves $32,750 contract with Kicker, Inc. for police recruitment video production",13.46,2.45,4.81
28,O0,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",13.21,2.73,5.34
29,O13,"Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades",10.61,2.75,5.39
30,O9,City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,8.01,2.94,5.77
31,O11,"Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs",6.41,3.09,6.07
