rank,label,headline,score_mu,score_sigma,score_95ci
1,G13,"$37,000 grant approved for old sexual assault case investigations.",33.99,1.99,3.89
2,G0,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,30.19,1.78,3.49
3,G15,New ordinance clarifies which streets and at what times residential parking permits will be enforced.,29.42,1.73,3.39
4,G24,"City approves $40,000 contract for immigration legal services.",29.12,1.73,3.39
5,G18,Council approves sewer plan for new Josephine Street Townhomes.,28.21,1.66,3.25
6,G21,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,28.1,1.66,3.26
7,G14,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",27.56,1.68,3.29
8,G25,Legislation to increase paid sick days for workers advances to a public hearing.,27.49,1.63,3.19
9,G19,City grants ALCOSAN underground land access for a major sewer project.,26.83,1.58,3.09
10,G27,Six new bus shelters will be built in Hazelwood at no cost to the city.,26.72,1.61,3.15
11,G6,City seeks temporary construction easements for the Smithfield Street repair project.,26.06,1.59,3.12
12,G26,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,25.91,1.64,3.21
13,G8,Proposed ordinance would allow residents to create native plant gardens.,25.66,1.59,3.12
14,G7,Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,25.59,1.67,3.28
15,G3,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",24.91,1.57,3.08
16,G23,"$33,292 transfer for council staff tuition reimbursement is held for six weeks.",24.43,1.64,3.22
17,G2,City's official sewage plan to be updated for new Hermitage Street development.,24.34,1.62,3.18
18,G17,Council approves sewer connection for new Walnut McKee Apartments.,24.23,1.63,3.2
19,G20,Council schedules hearing on aging public safety vehicles.,24.2,1.66,3.25
20,G9,Council designates Donny's Place historic over owner and commission objections.,23.8,1.68,3.29
21,G12,"Council approves sale of 14 city-owned lots in Larimer for $26,677.",23.72,1.6,3.13
22,G5,Council proposes eleven contracts with five vendors for on-call special events services.,23.14,1.59,3.11
23,G16,More streets in the South Side Flats added to residential permit parking zone.,22.29,1.63,3.19
24,G28,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,22.28,1.69,3.32
25,G10,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,21.93,1.64,3.21
26,G4,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",21.91,1.66,3.26
27,G29,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,21.3,1.62,3.17
28,G11,City Council rescinds sale of 136 Bodkin Street.,21.07,1.71,3.35
29,G1,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,20.05,1.74,3.4
30,G22,Council holds proposed sale of Itin Street property for one week.,17.01,2.03,3.97
