rank,label,headline,score_mu,score_sigma,score_95ci
1,G24,City recommends a $5.4 million funding increase for the Liberty Avenue safety project.,31.45,1.7,3.33
2,G26,Bakery Square rezoning plan with new affordable housing moves forward to a public hearing.,30.33,1.76,3.45
3,G29,"Council recommends an additional $382,000 for the Haverhill road and stormwater project.",28.97,1.67,3.28
4,G18,"Council committee recommends accepting $316,367 settlement for Finland Street Pedestrian Bridge.",28.59,1.61,3.15
5,G20,Council committee recommends adding $1.06 million in federal funds for a Liberty Avenue project.,27.77,1.62,3.17
6,G1,"City to pay $72,500 for overdue damage prevention debts.",27.74,1.6,3.14
7,G12,"City Council approves $35,025 for portable restrooms in city parks.",27.54,1.55,3.03
8,G17,City Council calls for future discussions on the Oakland Business Improvement District and the affordable housing bond.,27.4,1.55,3.04
9,G14,"Council approves $125,000 in state grant funding to purchase vehicles for the recycling program.",27.35,1.54,3.02
10,G22,"A City Council committee recommends spending $32,750 in grant money on new police recruitment videos.",27.11,1.55,3.04
11,G28,"Council recommends an additional $93,000 for vehicles and equipment for the Office of Community Health and Safety.",26.62,1.61,3.17
12,G9,City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.,26.29,1.61,3.15
13,G15,"City Council approves $17,204 to renew flood control authority membership.",26.13,1.57,3.07
14,G30,City Council recommends an agreement for the City and PennDOT to share equipment and maintenance services.,26.11,1.55,3.04
15,G25,"Council approves an additional $317,588 in costs for the South Negley Avenue Bridge project.",25.88,1.59,3.13
16,G23,"City accepts a reduced $250,000 state grant for the Smallman Street project.",25.77,1.62,3.18
17,G11,"Council approves purchase of a nearly $13,500 diagnostic tool for Public Works vehicles.",25.62,1.57,3.07
18,G21,City Council delays a decision on the sale of a 23rd Ward property for green space and parking.,25.42,1.58,3.1
19,G10,City Council authorizes 56 additional contracts for on-call professional services.,25.38,1.55,3.04
20,G2,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,25.04,1.54,3.01
21,G6,"Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project.",24.94,1.63,3.19
22,G16,City Council authorizes a no-cost agreement with the Pittsburgh Downtown Partnership for Market Square improvements.,24.79,1.56,3.05
23,G0,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",23.56,1.63,3.19
24,G8,Council introduces a resolution to transfer salary funds for staff tuition reimbursement.,22.97,1.59,3.11
25,G3,Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.,22.51,1.67,3.26
26,G19,Council recommends switching to USI Insurance Services as the city's new insurance broker.,22.48,1.62,3.17
27,G7,"Additional $115,170 proposed for Fort Pitt Park improvement designs.",21.93,1.61,3.17
28,G5,"Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500.",21.15,1.69,3.32
29,G4,"City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600.",20.02,1.7,3.33
30,G13,"Council approves an $11,424 one-year contract for Law Department software support.",18.78,1.72,3.37
31,G27,Council holds vote on Downing Street steps agreement for six weeks.,18.57,1.71,3.35
