rank,label,headline,score_mu,score_sigma,score_95ci
1,G18,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",36.49,2.48,4.87
2,G15,Council approves a public hearing to gather resident ideas on the city's trash problem.,32.71,1.87,3.67
3,G6,"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",29.27,1.69,3.31
4,G4,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,28.62,1.78,3.48
5,G5,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,28.57,1.78,3.48
6,G10,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,28.4,1.85,3.62
7,G3,"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",27.97,1.88,3.68
8,G9,"City to pay $72,500 for overdue 811 utility call debts.",27.43,1.82,3.57
9,G17,City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,27.07,1.74,3.42
10,G19,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,27.06,1.74,3.4
11,G23,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,26.96,1.65,3.23
12,G11,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,26.63,1.73,3.39
13,G7,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",26.13,1.76,3.45
14,G21,A city committee recommends allowing residential parking permit signs in some non-residential areas.,25.65,1.75,3.43
15,G16,Council committee recommends canceling a property sale and refunding the buyer's hand money.,25.55,1.62,3.17
16,G20,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,25.5,1.7,3.32
17,G8,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",25.47,1.63,3.19
18,G14,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,25.04,1.77,3.48
19,G25,Council recommends a sewage plan update for a new townhome development on the South Side.,24.93,1.68,3.28
20,G0,Council introduces legislation to clarify rules for posting residential parking permit signs.,24.71,1.67,3.27
21,G1,Legislation introduced to expand residential permit parking in the South Side Flats.,24.56,1.78,3.5
22,G26,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.",23.03,1.84,3.6
23,G24,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,22.8,1.74,3.42
24,G22,Council approves expanding the residential permit parking area in the South Side Flats.,22.16,1.88,3.69
25,G12,"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",20.72,1.82,3.56
26,G13,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,20.57,2.08,4.08
27,G2,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,17.69,2.08,4.08
