rank,label,headline,score_mu,score_sigma,score_95ci
1,O24,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,44.8,2.54,4.98
2,O2,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,41.5,2.82,5.52
3,O20,Council approves $1.06 million increase for Liberty Avenue project with new federal funding,40.67,2.19,4.3
4,O23,Council approves amended grant and funding for Smallman Street Complete Street Project,39.54,2.15,4.22
5,O17,Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,39.48,2.06,4.03
6,O25,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project,39.0,2.12,4.16
7,O26,Council amends and holds zoning map changes for public hearing in Bakery Square area,36.72,2.11,4.14
8,O16,Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City,33.66,1.94,3.8
9,O29,"Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77",33.5,2.0,3.93
10,O28,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety",33.47,1.99,3.89
11,O30,Council approves agreement with PennDOT to share in-kind services at no cost to city,32.3,2.11,4.13
12,O3,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property,32.16,2.22,4.35
13,O18,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",29.23,1.95,3.82
14,O10,Council approves 56 additional open-end professional services agreements with vendors,28.8,2.04,3.99
15,O14,"Council approves $125,000 transfer for new recycling vehicles through state grant",28.59,2.01,3.94
16,O5,"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500",27.6,2.05,4.02
17,O15,"City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025",27.47,1.94,3.79
18,O6,"Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending",26.42,2.05,4.02
19,O21,Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review,25.59,2.01,3.94
20,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",23.49,2.06,4.04
21,O19,City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract,22.46,2.25,4.41
22,O22,"Council approves $32,750 contract with Kicker, Inc. for police recruitment video production",22.22,2.22,4.34
23,O1,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",21.89,2.24,4.39
24,O27,Council holds resolution on cooperation agreement for Downing Street steps for six weeks,20.66,2.04,3.99
25,O12,"Council approves $35,025 payment to United Rentals for portable restrooms in city parks",18.48,2.34,4.58
26,O8,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts",17.98,2.39,4.68
27,O4,"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs",15.56,2.54,4.97
28,O11,"Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs",12.52,2.9,5.68
29,O9,City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,11.91,2.68,5.26
30,O0,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",11.57,2.88,5.64
31,O13,"Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades",10.55,3.09,6.06
