rank,label,headline,score_mu,score_sigma,score_95ci
1,C23,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,33.94,2.31,4.53
2,C18,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",32.96,2.22,4.35
3,C3,"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",30.17,1.9,3.71
4,C6,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",29.33,1.8,3.53
5,C7,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",29.07,1.9,3.72
6,C4,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,28.75,1.72,3.37
7,C5,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,27.68,1.76,3.44
8,C17,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,27.41,1.71,3.35
9,C15,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,27.0,1.83,3.59
10,C8,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",25.86,1.73,3.39
11,C20,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,25.53,1.76,3.46
12,C0,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,25.51,1.74,3.41
13,C25,Council approves sewage plan revision for South Side townhome development at no cost to the city.,25.36,1.75,3.44
14,C14,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,25.35,1.71,3.35
15,C9,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",24.77,1.74,3.4
16,C26,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",24.73,1.78,3.5
17,C19,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",24.39,1.76,3.45
18,C13,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",23.52,1.75,3.43
19,C2,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,23.19,1.63,3.19
20,C1,Council refers resolution to expand South Side Flats residential permit parking area to committee.,23.05,1.8,3.53
21,C16,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",22.39,1.79,3.51
22,C24,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,21.99,1.82,3.56
23,C10,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,21.12,1.75,3.42
24,C12,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",20.99,1.86,3.65
25,C21,Council committee approves changes to residential parking permit signage rules.,19.49,1.85,3.62
26,C22,Council approves expansion of residential permit parking program in South Side Flats.,18.87,1.92,3.76
27,C11,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",16.27,2.11,4.14
