rank,label,headline,score_mu,score_sigma,score_95ci
1,C2,"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee.",30.07,1.6,3.13
2,C0,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,29.69,1.54,3.01
3,C15,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,29.36,1.55,3.04
4,C16,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",29.11,1.63,3.2
5,C23,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.",28.61,1.48,2.9
6,C18,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629.",28.1,1.58,3.09
7,C17,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",28.01,1.54,3.02
8,C14,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",27.88,1.48,2.91
9,C1,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,27.51,1.52,2.98
10,C12,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.,27.49,1.56,3.05
11,C6,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200.",26.81,1.56,3.06
12,C8,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs.",26.39,1.5,2.94
13,C26,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",26.36,1.51,2.97
14,C29,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.",26.0,1.55,3.04
15,C10,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.",25.51,1.56,3.05
16,C13,"Council approves $32,750 contract for video production company to create police recruitment videos.",25.43,1.53,2.99
17,C9,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,25.19,1.5,2.93
18,C3,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,24.73,1.46,2.86
19,C19,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,24.62,1.42,2.78
20,C31,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.",24.34,1.54,3.01
21,C7,City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.,23.98,1.52,2.98
22,C33,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",23.61,1.48,2.91
23,C24,Council delays decision on agreement allowing community college students to train with city emergency medical services.,23.44,1.53,3.01
24,C28,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",23.17,1.58,3.09
25,C21,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.",22.69,1.39,2.72
26,C4,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,22.31,1.58,3.1
27,C30,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,22.28,1.49,2.92
28,C27,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,22.25,1.54,3.02
29,C11,Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,21.89,1.71,3.35
30,C20,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",21.83,1.5,2.93
31,C5,Council refers resolution to approve sewage plan for South Side townhome development to committee.,21.64,1.64,3.21
32,C25,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,21.62,1.55,3.04
33,C22,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",21.22,1.51,2.97
34,C32,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",19.31,1.65,3.24
