manual_headline,claude_headline,gemini_headline,openai_headline
NO_HEADLINE,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
NO_HEADLINE,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
NO_HEADLINE,Council considers sewage plan revision for Hermitage Street development at no cost to city.,City's official sewage plan to be updated for new Hermitage Street development.,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
NO_HEADLINE,"Council transfers $10,000 from salaries to City Clerk's office for professional services.","Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.","Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
NO_HEADLINE,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.","Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
NO_HEADLINE,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council proposes eleven contracts with five vendors for on-call special events services.,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
NO_HEADLINE,Council authorizes temporary construction easements on city property for Smithfield Street repair project.,City seeks temporary construction easements for the Smithfield Street repair project.,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Riverlife Barge Venue to Dock at Allegheny Landing Park,Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city
Bill to Allow Pollinator Gardens and Natural Landscapes Introduced,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,Proposed ordinance would allow residents to create native plant gardens.,Council introduces ordinance allowing residents to plant and maintain managed natural landscapes
Challenged Historic Designation for Former Gay Bar to Receive Public Hearing,Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,Council designates Donny's Place historic over owner and commission objections.,Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition
NO_HEADLINE,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost
NO_HEADLINE,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,City Council rescinds sale of 136 Bodkin Street.,Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit
NO_HEADLINE,City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,"Council approves sale of 14 city-owned lots in Larimer for $26,677.",City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
Untested Sexual Assault Kits to Be Processed,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.","$37,000 grant approved for old sexual assault case investigations.","Council approves $37,000 grant agreement to support police investigations and training"
