manual_headline,claude_headline,gemini_headline,openai_headline
NO_HEADLINE,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
NO_HEADLINE,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","City to pay $72,500 for overdue damage prevention debts.","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
NO_HEADLINE,Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
NO_HEADLINE,"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.",Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property
NO_HEADLINE,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600.","Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs"
NO_HEADLINE,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.","Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500.","Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500"
NO_HEADLINE,"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending.","Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project.","Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending"
NO_HEADLINE,"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.","Additional $115,170 proposed for Fort Pitt Park improvement designs.","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
NO_HEADLINE,"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program.",Council introduces a resolution to transfer salary funds for staff tuition reimbursement.,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts"
NO_HEADLINE,City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.,City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors
Open-Ended Professional Services Contracts Add 27 Unspecified New Vendors,Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.,City Council authorizes 56 additional contracts for on-call professional services.,Council approves 56 additional open-end professional services agreements with vendors
NO_HEADLINE,"Council approves $13,500 purchase of diagnostic tool to repair city vehicles.","Council approves purchase of a nearly $13,500 diagnostic tool for Public Works vehicles.","Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs"
Portable Restroom Back Payment Sparks Inquiries into the Prevalence of Closed Public Restrooms in City Parks,"Council approves $35,025 for portable restroom rentals and servicing in city parks.","City Council approves $35,025 for portable restrooms in city parks.","Council approves $35,025 payment to United Rentals for portable restrooms in city parks"
NO_HEADLINE,"Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software.","Council approves an $11,424 one-year contract for Law Department software support.","Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades"
NO_HEADLINE,"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.","Council approves $125,000 in state grant funding to purchase vehicles for the recycling program.","Council approves $125,000 transfer for new recycling vehicles through state grant"
NO_HEADLINE,"Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025.","City Council approves $17,204 to renew flood control authority membership.","City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025"
NO_HEADLINE,Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,City Council authorizes a no-cost agreement with the Pittsburgh Downtown Partnership for Market Square improvements.,Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City
NO_HEADLINE,Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.,City Council calls for future discussions on the Oakland Business Improvement District and the affordable housing bond.,Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond
NO_HEADLINE,"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.","Council committee recommends accepting $316,367 settlement for Finland Street Pedestrian Bridge.","City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation"
NO_HEADLINE,Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.,Council recommends switching to USI Insurance Services as the city's new insurance broker.,City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract
NO_HEADLINE,Council approves over $1 million in additional federal funding for Liberty Avenue road project.,Council committee recommends adding $1.06 million in federal funds for a Liberty Avenue project.,Council approves $1.06 million increase for Liberty Avenue project with new federal funding
NO_HEADLINE,"Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.",City Council delays a decision on the sale of a 23rd Ward property for green space and parking.,Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review
Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages,"Council approves $32,750 contract for company to create police recruitment videos using grant money.","A City Council committee recommends spending $32,750 in grant money on new police recruitment videos.","Council approves $32,750 contract with Kicker, Inc. for police recruitment video production"
NO_HEADLINE,"Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.","City accepts a reduced $250,000 state grant for the Smallman Street project.",Council approves amended grant and funding for Smallman Street Complete Street Project
NO_HEADLINE,Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.,City recommends a $5.4 million funding increase for the Liberty Avenue safety project.,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
NO_HEADLINE,"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.","Council approves an additional $317,588 in costs for the South Negley Avenue Bridge project.",Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project
14 Acre Bakery Square Expansion Moves Forward with Two Key Amendments Ready for Public Hearing,Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.,Bakery Square rezoning plan with new affordable housing moves forward to a public hearing.,Council amends and holds zoning map changes for public hearing in Bakery Square area
NO_HEADLINE,Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.,Council holds vote on Downing Street steps agreement for six weeks.,Council holds resolution on cooperation agreement for Downing Street steps for six weeks
NO_HEADLINE,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.","Council recommends an additional $93,000 for vehicles and equipment for the Office of Community Health and Safety.","Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety"
NO_HEADLINE,"Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000.","Council recommends an additional $382,000 for the Haverhill road and stormwater project.","Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77"
