segment,matched_agenda_segment
"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025. The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting. Therefore, under Rule 5. 1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",-1
"Can a Clerk please take the roll? Mr Sharland Here. Mr Coghill Here. Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here. Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle. President, Five members present.",-1
The floor is now open to Council to elect their temporary President Pro Tem. Motion to nominate Councilwoman Strasburger as the temporary Pro Tem. Second Councilperson Strasburger will now take over as President Pro Tem.,-1
"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",-1
"Please rise for the Pledge of Allegiance and remain standing for a moment of silence. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all. You may be seated. You may be seated.",-1
Our next order of business is to amend the agenda. Our next order of business is to amend the agenda. Is there a motion to amend the agenda? So moved Second. All those in favor: Aye.,-1
buzzing Councilman Mosley. Councilman Mosley presents.,-1
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh. Is there a motion to approve? So moved. Second. All in favor: Aye. Those opposed: vote no. Aye, Aye. Proclamation is approved.",3
"There being no further speakers, we will now move on to the presentation of papers For the first committee of the day.",-1
"Councilperson Sharland Chair of Human Resources. Good morning, Madam President. I was going to ask. That's what I was going to ask.",-1
"Councilperson Sharland presents Bill Number 1730. Thank you, Bill Number 1730. bill number 1739, Resolution 1739 ordinance amending the Pittsburgh Code of Ordinances, Title V- Traffic. Article VII, Parking, Chapter 549, residential parking permit program to clarify the regulations for posting of signage. And.",6
"Bill Number 1739 resolution amending resolution 98 of 2017 providing for the implementation of a residential permit parking program, area KK in the Southside Flats to expand the streets pursuant to Pittsburgh City Code, Chapter 549. Councilman Coghill, Chair of Public Safety and Wellness. Can I waive Rule 8 or motion to waive Rule 8 on those? Motion to waive Rule 8 on On both bills, On both bills. Second, Is there a second? All those in favor of waiving the Rules of Counsel Aye, Aye Rules will be waived so that these Bill 1738 and 1739 appears on tomorrow's Standing Committee's agenda. Thank you, Thank you. Thank you.",6
"Thank you very much, Councilman Coghill. No new papers, Madam Chair.",-1
"Thank you very much, Councilwoman Gross. Councilman Mosley. for Councilwoman Gross: No, I'm sorry. yes, I'm sorry. Can you hear me? We can hear you now. Oh, I apologize. No papers, Madam President.",-1
"Thank you very much, Councilman Mosley. Chair of Intergovernmental and Educational Affairs Committee. Thank you, Madam President. Agenda Achieved Agenda, Agenda 3 of 2. Mississauga, at the National Tourism Summit in 2009, was recognized as a State of the Land in 2015. The Board and the Council were recognized on August 19, 2014.",-1
"Councilman Coghill- Yes, Councilman Coghill- Yes. Councilman Coghill, chair of intergovernmental and educational affairs committee. thank you, madam president.",-1
"councilman Mosley presents bill number 1727 resolution authorizing the Pittsburgh land bank to acquire all the city's right, title and interests, if any, in into the publicly owned property in the 30th Ward of the city of Pittsburgh, designated in the deed registry office of Allegheny County as block 33 K, lot 128, 219 Reifert Street. council, district number three, at no cost to the city.",7
"and councilwoman Kale Smith, chair of recreation, youth and senior services committee. councilman Mosley. for a councilwoman Kale Smith: none new papers. madam president, thank you very much.",-1
and my committee finance and law. can we have council person Warwick for my committee?,-1
"council person Strasburger presents bill number 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with Fragman del Rey, Burnson and lowly LLP in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters you.",8
"next we have councilwoman Barb Warwick, chair of public works and infrastructure committee. thank you, councilwoman Warwick.",-1
"presents bill number 1729 resolution authorizing the mayor and the director of the department of mobility and infrastructure, on behalf of the city of Pittsburgh, to enter into an ownership and maintenance agreement with Albano LP for six bus shelters to be constructed along Second Avenue and Blair Street to correct building and maintenance of the Elevable käyt pani consists of a window, architecture scrapers, an Avenue and Blair Street in a Hazelwood neighborhood at no cost to the city.",9
"and we'll move on to councilman Wilson, chair of land use and economic development committee, because person Warwick, no new papers. thank you very much.",-1
"and for council president Lavelle, we have four appointments and we will need a motion to interview or approve once they are read.",-1
"council president Lavelle presents bill number 1730 resolution appointing and Marie Allison as a member of the LGBTQIA plus Commission, term to expire April 1st 2029.",10
"bill 1731 resolution appointing Elliott Williams as a member of the shade tree Commission, term to expire April 1st 2029. and.",11
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS Commission per title one, administrative commission. and.",12
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS commission per title one, administrative article nine boards, commissions and authorities. chapter 179 C: establishment of the Pittsburgh HIV and AIDS Commission- 179 co2 one in 179 co2 two of the Pittsburgh City Code of Ordinances.",12
