rank,label,headline,score_mu,score_sigma,score_95ci
1,M2,Untested Sexual Assault Kits to Be Processed,31.32,1.56,3.06
2,O2,"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training",29.86,1.51,2.96
3,O8,"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding",29.86,1.56,3.05
4,O15,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,29.44,1.5,2.93
5,M1,Council Seeks State Assistance in Eliminating the City’s Litter and Illegal Dumpsites,28.78,1.49,2.93
6,O12,Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,28.39,1.49,2.92
7,O10,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",28.38,1.49,2.93
8,O9,Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,28.13,1.49,2.92
9,O18,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs",28.08,1.46,2.86
10,M13,Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages,28.07,1.34,2.63
11,O29,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",27.9,1.46,2.86
12,O27,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,27.62,1.4,2.74
13,O17,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",27.37,1.41,2.75
14,O13,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",27.15,1.47,2.87
15,O1,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,26.36,1.4,2.74
16,O5,Council adopts sewage plan revision for 215 South 21st Street at no cost to city,26.29,1.49,2.91
17,O4,Council adopts sewage plan revision for 296 McKee Place at no cost to the city,25.97,1.41,2.76
18,M25,City Receives State Funds for New Lighting Along Penn Ave in East Liberty,25.35,1.35,2.64
19,O3,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,25.21,1.44,2.83
20,O25,"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",25.14,1.44,2.83
21,O16,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,24.9,1.47,2.89
22,O23,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",24.75,1.4,2.74
23,O19,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city,24.4,1.41,2.77
24,O6,"City approves easements for underground tunnels on nine city properties with $8,200 payment",24.39,1.41,2.76
25,M0,"Mayor's Vision Zero Plan Appears on Track, Still Awaiting Traffic Fatality Data",24.39,1.45,2.84
26,O7,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,23.62,1.4,2.74
27,O0,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,23.53,1.46,2.87
28,O30,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,23.31,1.4,2.75
29,O14,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,23.23,1.41,2.76
30,O26,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",22.72,1.43,2.8
31,O20,Council holds resolution to rescind 2022 property sale for one week,22.68,1.42,2.79
32,O21,Council holds tuition reimbursement payment for Mohammed Burny for further review,22.63,1.34,2.62
33,O28,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",22.36,1.55,3.04
34,O11,"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",22.17,1.49,2.91
35,O33,Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,22.09,1.43,2.8
36,O24,Council holds decision on EMS student training agreement with Community College of Allegheny County,22.04,1.43,2.8
37,O31,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,22.02,1.51,2.95
38,O32,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,20.86,1.52,2.98
39,O22,City Council holds resolution on sale of 23rd Ward property for two weeks,19.49,1.56,3.05
