rank,label,headline,score_mu,score_sigma,score_95ci
1,O24,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,32.17,1.72,3.38
2,O12,"Council approves $35,025 payment to United Rentals for portable restrooms in city parks",29.36,1.63,3.2
3,O30,Council approves agreement with PennDOT to share in-kind services at no cost to city,29.12,1.57,3.08
4,O28,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety",28.62,1.54,3.02
5,O14,"Council approves $125,000 transfer for new recycling vehicles through state grant",28.1,1.53,3.0
6,M22,Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages,27.93,1.62,3.18
7,O6,"Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending",27.74,1.49,2.92
8,O8,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts",27.44,1.41,2.76
9,O25,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project,27.39,1.43,2.81
10,O20,Council approves $1.06 million increase for Liberty Avenue project with new federal funding,26.82,1.48,2.89
11,M12,Portable Restroom Back Payment Sparks Inquiries into the Prevalence of Closed Public Restrooms in City Parks,26.64,1.54,3.01
12,O29,"Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77",25.81,1.44,2.83
13,O15,"City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025",25.77,1.45,2.84
14,O18,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",25.56,1.53,3.01
15,O2,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,25.52,1.47,2.88
16,O23,Council approves amended grant and funding for Smallman Street Complete Street Project,25.11,1.51,2.96
17,O22,"Council approves $32,750 contract with Kicker, Inc. for police recruitment video production",25.09,1.48,2.91
18,M26,14 Acre Bakery Square Expansion Moves Forward with Two Key Amendments Ready for Public Hearing,25.05,1.52,2.99
19,M10,Open-Ended Professional Services Contracts Add 27 Unspecified New Vendors,25.02,1.48,2.91
20,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",24.84,1.53,2.99
21,O16,Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City,24.63,1.45,2.83
22,O5,"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500",24.46,1.45,2.85
23,O13,"Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades",24.39,1.56,3.05
24,O26,Council amends and holds zoning map changes for public hearing in Bakery Square area,24.13,1.51,2.95
25,O1,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",23.92,1.44,2.83
26,O3,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property,23.91,1.47,2.89
27,O10,Council approves 56 additional open-end professional services agreements with vendors,23.78,1.48,2.9
28,O17,Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,23.28,1.48,2.91
29,O21,Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review,22.52,1.57,3.09
30,O0,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",22.3,1.53,2.99
31,O11,"Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs",21.97,1.49,2.93
32,O27,Council holds resolution on cooperation agreement for Downing Street steps for six weeks,21.46,1.52,2.99
33,O9,City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,19.62,1.68,3.29
34,O19,City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract,19.2,1.57,3.08
35,O4,"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs",17.82,1.96,3.83
