rank,label,headline,score_mu,score_sigma,score_95ci
1,O5,Council approves ordinance to increase paid sick leave accrual rates and maximum hours,35.93,2.08,4.08
2,O15,Council approves public hearing to address citywide trash problem,34.25,2.05,4.02
3,O18,"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms",32.5,1.88,3.68
4,O3,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm",32.26,1.82,3.57
5,M18,Untested Sexual Assault Kits to Be Processed,30.74,1.94,3.81
6,M3,"$40,000 Contract with Law Firm for “Immigration Matters” Authorized",27.79,1.6,3.14
7,O9,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",26.55,1.62,3.18
8,O17,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,26.14,1.63,3.19
9,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",25.71,1.58,3.1
10,O19,"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",25.39,1.53,3.0
11,O8,"Council approves $52,962 payment for Pennsylvania Municipal League subscription",24.91,1.64,3.21
12,O4,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,24.82,1.59,3.11
13,O21,Council approves ordinance clarifying residential parking permit signage rules,24.8,1.61,3.15
14,O6,"Council approves reduced $450,000 grant for Penn Avenue lighting project",24.52,1.66,3.26
15,M6,City Receives State Funds for New Lighting Along Penn Ave in East Liberty,24.38,1.68,3.28
16,O14,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,24.13,1.56,3.06
17,O23,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,23.78,1.67,3.26
18,O24,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code,23.68,1.56,3.05
19,O26,"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment",23.37,1.67,3.28
20,M23,Proposed July 2024 Contract for Shelter Services Held Another Five Weeks,23.37,1.59,3.11
21,O25,Council approves sewage plan revision for 215 South 21st Street development at no cost to city,23.31,1.54,3.02
22,O11,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,23.29,1.55,3.04
23,O2,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,23.16,1.6,3.13
24,O1,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,23.14,1.63,3.19
25,O22,Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,22.94,1.65,3.24
26,O10,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,22.85,1.66,3.25
27,O20,Council holds resolution on waste operations agreement with University of Pittsburgh for one week,22.47,1.58,3.09
28,M16,Council Reopens Discussion of the Process to Purchase City Property After a Rescinded Sale,22.46,1.62,3.18
29,O13,"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",22.03,1.6,3.14
30,O12,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,21.27,1.6,3.13
31,O0,Council refers ordinance clarifying residential parking permit signage rules to committee,21.03,1.64,3.21
32,O16,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property,20.79,1.74,3.41
