rank,label,headline,score_mu,score_sigma,score_95ci
1,C21,Council holds public hearing on bill to reduce minimum lot sizes for residential development.,42.72,2.24,4.38
2,C0,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,42.57,3.36,6.59
3,C25,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,41.09,2.22,4.35
4,C24,"Council approves $40,000 contract with law firm for immigration legal services.",40.04,2.2,4.31
5,C20,"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.",39.2,2.18,4.28
6,C19,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.",37.14,2.14,4.19
7,C12,City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,36.39,2.11,4.13
8,C13,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.",36.29,2.14,4.2
9,C27,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,33.04,2.03,3.98
10,C16,Council expands residential permit parking program to more South Side Flats streets.,32.68,2.08,4.09
11,C8,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,32.57,2.05,4.02
12,C14,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.",30.39,2.07,4.05
13,C5,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",29.16,2.01,3.94
14,C17,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,28.5,2.05,4.02
15,C26,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,28.06,2.06,4.04
16,C29,Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,27.91,2.06,4.04
17,C18,Council approves sewage plan revision for South Side townhome development at no cost to the City.,27.59,2.13,4.18
18,C9,Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,24.43,2.11,4.13
19,C6,Council authorizes temporary construction easements on city property for Smithfield Street repair project.,23.9,2.03,3.97
20,C2,Council considers sewage plan revision for Hermitage Street development at no cost to city.,22.86,2.16,4.24
21,C15,Council passes ordinance clarifying rules for posting residential parking permit signs.,22.17,2.26,4.42
22,C7,Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,21.18,2.22,4.35
23,C11,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,20.21,2.38,4.66
24,C23,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks.",17.7,2.46,4.82
25,C3,"Council transfers $10,000 from salaries to City Clerk's office for professional services.",17.18,2.38,4.67
26,C4,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",14.74,2.6,5.1
27,C22,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",14.63,2.58,5.05
28,C10,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,12.27,2.89,5.66
29,C28,Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,8.92,2.95,5.77
30,C1,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,6.91,3.23,6.34
