rank,label,headline,score_mu,score_sigma,score_95ci
1,C26,Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.,45.44,2.29,4.5
2,C24,Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.,44.32,2.28,4.48
3,C17,Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.,43.21,2.24,4.39
4,C10,Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.,41.1,2.25,4.41
5,C20,Council approves over $1 million in additional federal funding for Liberty Avenue road project.,40.95,2.11,4.14
6,C29,"Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000.",38.03,1.99,3.89
7,C23,"Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.",37.63,1.97,3.87
8,C2,Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,35.95,2.38,4.67
9,C30,Council approves agreement allowing Pittsburgh and PennDOT to share equipment and services at no cost.,35.93,2.01,3.93
10,C28,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",35.1,1.98,3.88
11,C16,Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,34.86,1.97,3.86
12,C25,"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.",33.42,1.99,3.9
13,C14,"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.",31.74,1.95,3.81
14,C15,"Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025.",29.44,1.97,3.85
15,C6,"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending.",29.07,1.98,3.88
16,C18,"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.",28.19,1.93,3.79
17,C19,Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.,28.1,1.94,3.79
18,C12,"Council approves $35,025 for portable restroom rentals and servicing in city parks.",26.75,1.97,3.86
19,C27,Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.,25.84,2.07,4.05
20,C5,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",25.69,2.04,4.0
21,C9,City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,25.38,2.08,4.07
22,C3,"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.",25.17,2.08,4.08
23,C22,"Council approves $32,750 contract for company to create police recruitment videos using grant money.",25.02,2.11,4.13
24,C1,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",21.29,2.24,4.4
25,C7,"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.",19.38,2.38,4.66
26,C8,"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program.",18.13,2.53,4.95
27,C4,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",15.1,2.68,5.24
28,C21,"Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.",14.99,2.87,5.63
29,C11,"Council approves $13,500 purchase of diagnostic tool to repair city vehicles.",14.85,2.72,5.33
30,C13,"Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software.",11.14,3.15,6.17
31,C0,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",7.31,3.33,6.53
