rank,label,headline,score_mu,score_sigma,score_95ci
1,C23,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,43.41,2.66,5.22
2,C5,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,41.0,2.84,5.56
3,C18,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",40.11,2.52,4.93
4,C10,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,36.39,2.41,4.72
5,C17,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,36.11,2.35,4.61
6,C15,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,35.93,2.34,4.58
7,C26,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",34.48,2.2,4.32
8,C3,"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",32.67,2.28,4.47
9,C4,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,31.62,2.3,4.51
10,C22,Council approves expansion of residential permit parking program in South Side Flats.,29.42,2.17,4.26
11,C19,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",28.62,2.16,4.23
12,C2,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,28.42,2.31,4.52
13,C6,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",28.36,2.24,4.38
14,C14,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,28.08,2.2,4.32
15,C20,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,23.99,2.23,4.37
16,C13,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",23.27,2.23,4.36
17,C25,Council approves sewage plan revision for South Side townhome development at no cost to the city.,22.92,2.18,4.27
18,C7,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",20.77,2.26,4.43
19,C21,Council committee approves changes to residential parking permit signage rules.,20.59,2.2,4.32
20,C11,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",19.09,2.33,4.57
21,C1,Council refers resolution to expand South Side Flats residential permit parking area to committee.,18.45,2.58,5.05
22,C9,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",17.71,2.35,4.61
23,C24,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,16.32,2.47,4.85
24,C0,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,13.93,2.92,5.72
25,C12,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",13.17,2.74,5.36
26,C8,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",9.15,3.11,6.1
27,C16,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",6.79,3.38,6.62
