rank,label,headline,score_mu,score_sigma,score_95ci
1,O24,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,31.17,1.8,3.52
2,O12,"Council approves $35,025 payment to United Rentals for portable restrooms in city parks",29.46,1.71,3.34
3,O30,Council approves agreement with PennDOT to share in-kind services at no cost to city,29.08,1.69,3.32
4,O28,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety",28.43,1.65,3.23
5,O25,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project,27.69,1.58,3.1
6,O6,"Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending",27.46,1.6,3.14
7,O14,"Council approves $125,000 transfer for new recycling vehicles through state grant",27.19,1.64,3.22
8,O8,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts",27.19,1.5,2.95
9,O18,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",27.04,1.69,3.31
10,O20,Council approves $1.06 million increase for Liberty Avenue project with new federal funding,26.95,1.61,3.15
11,O29,"Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77",26.24,1.53,3.01
12,O23,Council approves amended grant and funding for Smallman Street Complete Street Project,25.77,1.62,3.17
13,O22,"Council approves $32,750 contract with Kicker, Inc. for police recruitment video production",25.35,1.58,3.1
14,O2,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,25.18,1.58,3.1
15,O26,Council amends and holds zoning map changes for public hearing in Bakery Square area,24.95,1.58,3.09
16,O13,"Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades",24.9,1.65,3.23
17,O16,Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City,24.87,1.55,3.04
18,O5,"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500",24.8,1.53,3.01
19,O10,Council approves 56 additional open-end professional services agreements with vendors,24.74,1.55,3.04
20,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",24.68,1.64,3.21
21,O15,"City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025",24.56,1.58,3.1
22,O3,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property,24.39,1.57,3.07
23,O1,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",24.04,1.53,2.99
24,O17,Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,23.56,1.61,3.16
25,O21,Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review,22.78,1.67,3.28
26,O0,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",22.65,1.64,3.21
27,O11,"Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs",21.89,1.61,3.16
28,O27,Council holds resolution on cooperation agreement for Downing Street steps for six weeks,21.86,1.61,3.15
29,O19,City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract,19.97,1.65,3.23
30,O9,City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,19.49,1.79,3.5
31,O4,"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs",18.31,2.03,3.98
