rank,label,headline,score_mu,score_sigma,score_95ci
1,O20,"Council schedules special meeting to address EMS, fire, and police fleet issues",31.49,1.98,3.88
2,O24,"Council approves $40,000 contract for immigration legal services with Fragomen firm",30.64,1.74,3.42
3,O8,Council introduces ordinance allowing residents to plant and maintain managed natural landscapes,29.53,1.63,3.2
4,O14,Council approves grant application and city funding for Emerald View Trail rehabilitation project,28.71,1.63,3.2
5,O18,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City,28.19,1.6,3.14
6,O5,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",27.47,1.57,3.07
7,O15,Council approves clearer rules for residential parking permit signage,27.42,1.55,3.04
8,O0,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,27.24,1.61,3.17
9,O21,Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,27.18,1.66,3.25
10,O13,"Council approves $37,000 grant agreement to support police investigations and training",27.03,1.64,3.21
11,O26,Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,26.95,1.63,3.2
12,O25,Council holds Bill 1736 on paid sick leave accrual rates for public hearing,26.46,1.65,3.24
13,O6,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,26.42,1.57,3.08
14,O23,"City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks",26.24,1.58,3.1
15,O17,City Council approves sewage plan revision for 296 McKee Place at no cost to the City,25.92,1.57,3.08
16,O27,City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,25.87,1.67,3.28
17,O7,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city,24.88,1.57,3.07
18,O19,"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200",24.1,1.67,3.27
19,O9,Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition,24.01,1.61,3.16
20,O3,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",23.91,1.57,3.07
21,O11,Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,23.64,1.64,3.21
22,O4,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",23.04,1.59,3.12
23,O10,Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,22.91,1.66,3.25
24,O22,City Council holds resolution for sale of 23rd Ward property for one week,22.8,1.57,3.09
25,O28,City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City,22.75,1.68,3.3
26,O29,Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street,22.68,1.62,3.17
27,O1,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,22.31,1.66,3.26
28,O16,Council approves expansion of Residential Permit Parking Area KK in South Side Flats,21.55,1.7,3.34
29,O12,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,21.39,1.65,3.23
30,O2,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city,19.99,1.81,3.56
