rank,label,headline,score_mu,score_sigma,score_95ci
1,O5,Council approves ordinance to increase paid sick leave accrual rates and maximum hours,34.55,2.19,4.29
2,O15,Council approves public hearing to address citywide trash problem,34.45,2.26,4.43
3,O3,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm",32.37,1.97,3.85
4,O18,"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms",31.62,1.99,3.91
5,O17,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,26.8,1.78,3.49
6,O9,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",26.36,1.74,3.42
7,O14,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,25.53,1.64,3.22
8,O19,"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",25.47,1.68,3.29
9,O21,Council approves ordinance clarifying residential parking permit signage rules,25.33,1.74,3.42
10,O8,"Council approves $52,962 payment for Pennsylvania Municipal League subscription",25.1,1.81,3.55
11,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",25.03,1.77,3.46
12,O4,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,24.66,1.7,3.34
13,O6,"Council approves reduced $450,000 grant for Penn Avenue lighting project",24.6,1.84,3.6
14,O23,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,23.9,1.76,3.45
15,O1,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,23.63,1.75,3.44
16,O11,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,23.6,1.66,3.26
17,O24,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code,23.51,1.68,3.3
18,O26,"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment",23.28,1.84,3.6
19,O25,Council approves sewage plan revision for 215 South 21st Street development at no cost to city,23.1,1.7,3.34
20,O10,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,22.73,1.77,3.48
21,O22,Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,22.53,1.8,3.52
22,O20,Council holds resolution on waste operations agreement with University of Pittsburgh for one week,22.33,1.71,3.35
23,O13,"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",21.81,1.77,3.47
24,O16,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property,21.48,1.82,3.57
25,O2,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,20.63,1.8,3.52
26,O0,Council refers ordinance clarifying residential parking permit signage rules to committee,20.42,1.84,3.6
27,O12,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,20.1,1.8,3.52
