item,link,text
2025-1634,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7263463&GUID=72E07D81-152C-4980-BC54-E14C83EE3984&Options=&Search=,"title
Resolution repealing an item in Resolution Number 512 of 2022, effective date September 23, 2022, in order to rescind the sale.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The following item in Resolution Number 512 of 2022, effective date September 23, 2022, authorizing the sale of a property in the Nineteenth Ward of the City of Pittsburgh, in accordance with Act No. 171 of 1984, is hereby repealed.  The hand money is to be refunded. Item A: 136 Bodkin Street.
  (A)
Parys Durham
2 STY STN-ALUM SDG HSE
PURCHASE PRICE: $40,000.00
Residential Rehab - Rental
LOT: LOT 50 X AVG 101 X 55
LOCATION: 136 Bodkin Street
ACQUIRED: April 29, 2016 T/S# 349
WARD: 19 BLOCK & LOT: 62-K-200
COUNCIL DISTRICT: 4"
2025-1709,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292391&GUID=98BEB77E-82B6-4067-BA40-B87D44ADA7C5&Options=&Search=,"Title
Resolution authorizing the issuance of a warrant in favor of Angelina Priore, and her attorneys, Kontos Mengine Killion & Hassen, for a single payment in 2025 in an amount not to exceed EIGHTY THOUSAND DOLLARS AND ZERO CENTS ($80,000.00), in full and final settlement of litigation, filed in the Allegheny County Court of Common Pleas at G.D. 22-005903.
(Executive Session held 4/8/25)
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Angelina Priore, and her attorneys, Kontos Mengine Killion & Hassen, for a single payment in 2025 in an amount not to exceed EIGHTY THOUSAND DOLLARS AND ZERO CENTS ($80,000.00), in full and final settlement of litigation, filed in the Allegheny County Court of Common Pleas at G.D. 22-005903, charging and payable from 11101.108000.58.58105.2025."
2025-1710,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292392&GUID=DE4C2B0A-E024-4ED0-8BD8-70400509CAA3&Options=&Search=,"Title
Resolution authorizing the issuance of a warrant in favor of Gladys Sanchez in an amount not to exceed EIGHT THOUSAND THREE HUNDRED ONE DOLLARS AND THIRTY-SIX CENTS ($8,301.36) over one year, in full and final settlement of a claim (2025-CLAIM-0010) for damage to her vehicle from an accident with a City Police vehicle on December 17, 2024.
(Executive Session held 4/8/25)
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Gladys Sanchez in an amount not to exceed EIGHT THOUSAND THREE HUNDRED ONE DOLLARS AND THIRTY-SIX CENTS ($8,301.36) over one year, in full and final settlement of a claim (2025-CLAIM-0010) for damage to her vehicle from an accident with a City Police vehicle on December 17, 2024, charging same to Code 11101.108000.58.58105.2025."
2025-1711,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292393&GUID=622DC813-7D87-4161-8614-86F93CDE6E0E&Options=&Search=,"title
Resolution authorizing the execution of quitclaim deeds conveying all of the City's right, title and interest in and to the City-owned properties located in the 12th Ward of the City and designated in the Deed Registry Office of Allegheny County as Block & Lot: 124-N-282, 283, 288, 290, 291, 292, 293, 124-P-96, 125-B 128, 129, 130, 131, 132, 134, to Larimer Consensus Group (“LCG”) through the Pittsburgh Land Bank (“PLB”) for consideration set forth herein, relating to the full and final settlement of cases filed in the Allegheny County Court of Common Pleas at CS 21-43; CS 21-47; CS 21-49; CS 21-50; CS 21-52; CS 21-60; CS 21-61; CS 21-62; CS 21-65; CS 21-67; CS 21-68; CS 21-90.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Finance, on behalf of the City of Pittsburgh, are authorized to execute quitclaim deeds and any other necessary or appropriate documents and instruments conveying all of the City's right, title and interest in and to the properties in the 12th Ward of the City and designated in the Deed Registry Office of Allegheny County as Block & Lot: 124-N-282, 283, 288, 290, 291, 292, 293, 124-P-96, 125-B 128, 129, 130, 131, 132, 134,to Larimer Consensus Group (“LCG”) through the Pittsburgh Land Bank (“PLB”) for the consideration set forth below, relating to the full and final settlement of cases filed in the Allegheny County Court of Common Pleas at CS 21-43; CS 21-47; CS 21-49; CS 21-50; CS 21-52; CS 21-60; CS 21-61; CS 21-62; CS 21-65; CS 21-67; CS 21-68; CS 21-90.
  Section 2.                     All related documents shall be in a form approved by the City Solicitor.
  ADDRESS
BLOCK AND LOT
SALE PRICE
0 Meadow St
124-P-96
$2,380
0 Meadow St
125-B-128
$2,415
0 Meadow St
125-B-129
$2,660
0 Meadow St
125-B-130
$2,758
0 Meadow St
125-B-131
$2,758
0 Meadow St
125-B-132
$1,820
0 Lowell St
125-B-134
$1,050
0 Meadow St
124-N-288
$1,792
0 Meadow St
124-N-290
$2,842
0 Meadow St
124-N-291
$1,218
0 Meadow St
124-N-292
$1,218
0 Stoebner Way
124-N-293
$1,575
0 Meadow St
124-N-283
$1,470
0 Meadow St
124-N-282
$721"
0014-2025,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7315378&GUID=C51810B3-A990-4B22-BCD1-1F1429F83E6E&Options=&Search=,"Title
P-Cards"
2025-1703,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292385&GUID=9C5F61D7-1AD6-46E6-9FA6-F25C6E027D69&Options=&Search=,"Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety to enter into an Agreement or Agreements with the County of Allegheny for the purpose of receiving grant funds from the 2023 National Sexual Assault Kit Initiative Grant in the amount not to exceed THIRTY-SEVEN THOUSAND ($37,000.00) dollars to support overtime for PBP detectives for the investigation of old sexual assault cases, the purchasing of materials to properly furnish a soft interview room for the Pittsburgh Bureau of Police, and participation in approved training opportunities.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are authorized to enter into an Agreement or Agreements with the County of Allegheny for the purpose of receiving grant funds in the amount not to exceed THIRTY-SEVEN THOUSAND ($37,000.00) dollars to support overtime for PBP detectives for the investigation of old sexual assault cases, the purchasing of materials to properly furnish a soft interview room for the Pittsburgh Bureau of Police, and participation in approved training opportunities. Monies from the grant agreement shall be deposited into the Grants Trust Fund account 2329400515.45703.00.
  Section 2.                     The Mayor, the Director of the Office of Management and Budget and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grants expenditures shall not exceed THIRTY-SEVEN THOUSAND ($37,000.00), chargeable to and payable from the appropriate expense account in the Grants Trust Fund, job number 2329400515."
2025-1712,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292394&GUID=CB734FF7-306D-4106-8CD5-7749143D077F&Options=&Search=,"Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Mobility and Infrastructure to apply for grant funding from the Pennsylvania Department of Conservation and Natural Resources’ Community Conservation Partnerships Program to provide funding for the rehabilitation of Emerald View Trail project. The grant proposal includes an ask of TWO HUNDRED FIFTY THOUSAND DOLLARS AND ZERO CENTS ($250,000.00) with a match of TWO HUNDRED FIFTY THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($250,844.42) from the City of Pittsburgh’s Capital Budget for a total project cost of FIVE HUNDRED THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($500,844.42) dollars for this stated purpose.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Mobility and Infrastructure area authorized to apply for grant funding from the Pennsylvania Department of Conservation and Natural Resources’ Community Conservation Partnerships Program to provide funding for the rehabilitation of Emerald View Trail project. The grant proposal includes an ask of TWO HUNDRED FIFTY THOUSAND DOLLARS AND ZERO CENTS ($250,000.00) with a match of TWO HUNDRED FIFTY THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($250,844.42) from the City of Pittsburgh’s 2026 Capital Budget (JDE Job Number 6059050326) for a total project cost of FIVE HUNDRED THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($500,844.42) dollars for this stated purpose."
2025-1713,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292395&GUID=743C4E72-2949-4195-8ED6-C935FE827979&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement(s) and/or Amendment(s) with the University of Pittsburgh, for the purpose of providing supplemental waste operations in the Oakland neighborhood, at no cost to the City.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with the University of Pittsburgh, for the purpose improving waste operations in the Oakland neighborhood which is significantly impacted periodically by the university’s increased tonnages of waste during student move in, student move out, and holiday break, by providing supplemental waste operations, at no cost to the City.
  Section 2.                     Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
2025-1738,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7302718&GUID=5E3FA572-C63B-4881-81C3-A01322821D18&Options=&Search=,"title
Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.
  body
The Council of the City of Pittsburgh hereby enacts as follows:
  Section 1.                     § 549.09 Posting Signs Indicating Restrictions; Enforcement.
  (a) Upon adoption of a resolution establishing a residential parking permit program, the Director of the Department of Mobility and Infrastructure shall cause appropriate signs to be erected in the residential parking permit area indicating prominently thereon the parking restrictions associated therewith and, if any area is a hybrid residential parking permit area, the parking rates and time limits associated therewith.
  (b) Signs may only be posted and regulations enforced on blockfaces in the residential parking permit area that are located in a Residential Zoning District per Chapter 903 of the Code or in any of the following zoning districts: H, UPR-B, RIV-RM, GPR, OPR-A, or RP. Signs may only be posted and regulations enforced in non-residential zoning districts in Hybrid RPP areas or at the discretion of the Parking Permit Officer.
  (c) Residential parking permit areas with dynamic hours shall not have enforcement between 2:00 a.m. and 8:00 a.m. on any day. No residential parking permit areas with a dynamic hours designation shall be enforced on Sundays between 2:00 a.m. and 11:59 p.m. Evening enforcement shall only occur in a Parking Enhancement District per Section 546 of City Code."
2025-1739,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7302719&GUID=89726ED7-2EC6-4284-865F-946B92D9EE15&Options=&Search=,"title
Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area ‘KK’ in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.
  body
Whereas, the Office of Council District 3 submitted a request to the Department of Mobility and Infrastructure (DOMI) to expand RPP Area KK,
  Whereas, the DOMI has completed a parking study and analysis and recommended specific blocks for addition to Area KK,
    Be it resolved, that Resolution No. 98-2017 is hereby amended as follows:
  Section 1.                     As provided by the Pittsburgh City Code, Chapter 549, entitled ""Residential Parking Permit Program,"" a parking management plan is adopted as follows:
  For the Area bounded by: Bingham Street, from S. 16th Street to S. 17th Street; East Carson Street, from S. 15th Street to S. 16th Street (odd numbered addresses only) and from S. 17th Street to S. 25th Street (odd number addresses only); Fox Way, from S. 18th Street to S. 24th Street Fox Way, from S. 17th Street to S. 24th Street; Merriman Street, from S. 17th Street to S. 22nd Street; Sidney Street, from S. 17th Street to S. 25th Street; Wharton Street, from S. 17th Street to S. 22nd Street; Wrights Way, from S. 17th Street to S. 25th Street; S. 16th Street, from Muriel Street to its terminus S. 16th Street, from East Carson Street to its terminus; S. 17th Street, from Sidney Street to its terminus S. 17th Street, from Bingham Street to its terminus; S. 18th Street, from E. Carson Street to the South Side Park Riverfront Park Access Road; S. 19th Street, from E. Carson Street to Merriman Street; S. 20th Street, from E. Carson Street to Wharton Street; S. 21st Street, from Sidney Street to Fox Way; S. 22nd Street, from Sidney Street to Wharton Street; S. 23rd Street, from E. Carson Street to Fox Way Wharton Street; S. 24th Street, from E. Carson Street to Fox Way; S. 25th Street, from E. Carson Street to Sidney Street (even number addresses only)."
