item,link,text
2025-1761,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318257&GUID=E1D16E74-6E6D-432B-B784-B26B03F04E16&Options=&Search=,"title
WHEREAS, April 11, 2025 marks the 57th anniversary of the passage of the U.S. Fair Housing Act, Title VIII of the Civil Rights Act of 1968, which, as amended, pronounces a national policy mandating fair housing opportunities for all citizens regardless of race, color, religion, sex, national origin, disability, or familial status; and
  body
WHEREAS, on December 16, 1958 Mayor David Lawrence signed the Fair Housing Practices ordinance into effect, which, as amended, additionally prohibits discrimination in housing on the basis of ancestry, gender identity, gender expression, place of birth, sexual orientation, status as a survivor of domestic violence, citizenship or immigration status, preferred language, or hairstyle; and
  WHEREAS, illegal barriers to equal opportunity in housing, whether subtle or blatant, diminish the rights of all and violate our community’s shared and deeply held values of equality and dignity for all; and 
  WHEREAS, the City through its Mayor, Council, Commissions, Departments and Authorities still works toward achieving the recommendations of the Affirmatively Furthering Fair Housing Task Force and ending housing inequity for its citizens; and
  WHEREAS, the international community in 2022 and 2023 issued recommendations to public officials in the U.S. calling for improved efforts to address the systemic discrimination that perpetuates poverty and homelessness and disproportionately harms racialized and other vulnerable populations; and
  WHEREAS, the City through its Mayor and Council reaffirm the commitment to ensuring housing as a human right through its policy implementation and enforcement.
  NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh encourages all agencies, institutions, and individuals, public and private, in the City of Pittsburgh to abide by the letter and spirit of the Fair Housing Law in the pursuit of expanding opportunities and improving the quality of life for all; and
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh commits to make every effort to support the citizens of Pittsburgh and the Departments, Boards, Offices, and Authorities of the City of Pittsburgh in their fight to end discrimination in housing and Affirmatively Further Fair Housing; and
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby proclaim April 2025, as “Fair Housing Month,” in the City of Pittsburgh."
2025-1762,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318258&GUID=AA6A3BE8-576D-4D98-8AB6-044207405713&Options=&Search=,"title
WHEREAS, Alpha Kappa Alpha Sorority, Incorporated® (AKA), established on Wednesday, January 15, in 1908 at Howard University in Miner Hall, holds the distinction of being the oldest Greek-lettered organization founded by African American college-educated women; and,
  body
WHEREAS, with a remarkable membership of over 365,000 women across 12 countries, AKA is celebrated as “America’s premier Greek-letter organization for African American women,” fostering leadership, service, and sisterhood within communities worldwide; and,
  WHEREAS, The Alpha Alpha Omega Chapter of AKA, chartered in April 1927, has proudly served the Greater Pittsburgh area for nearly a century, demonstrating a commitment to excellence through various community initiatives, mentorship programs, and partnerships with local organizations, including Pittsburgh Public Schools, UPMC Magee, and the Greater Pittsburgh Food Bank; and,
  WHEREAS, Gwendolyn L. Kirtley, Great Lakes Regional Director, leads the Alpha Kappa Alpha Sorority, Incorporated® 94th Great Lakes Regional Conference, Greater Together: An Artful Tapestry of Service and Sisterhood in Pittsburgh, at the David L. Lawrence Convention Center, from April 24-27, 2025, gathering over 7,000 members from 99 chapters, celebrating 100 years of impactful service within the Great Lakes Region; and,
  WHEREAS, this momentous conference serves as a unique opportunity for personal and professional development for its participants, reinforcing the mission of AKA in cultivating a spirit of community engagement, leadership, and empowerment among its members; and,
  WHEREAS, Danette Anthony Reed, the International President & CEO of Alpha Kappa Alpha Sorority, Incorporated®, exemplifies exemplary leadership and dedication to the sorority’s foundational tenets, inspiring members to promote high scholastic and ethical standards, friendship, and service to humanity; and,
  WHEREAS, the commitment of Alpha Kappa Alpha Sorority, Incorporated® to initiatives that empower families, build economic wealth, enhance the environment, advocate for social justice, and uplift the local community resonates deeply with the values of the City of Pittsburgh;
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby declare Thursday, April 24, 2025 to be “Alpha Kappa Alpha Sorority, Incorporated® Day” in the City of Pittsburgh."
2025-1763,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318259&GUID=2D5CDF31-07C8-4586-B0EC-E50ACE2CB932&Options=&Search=,"title
WHEREAS, the week of April 21-25, 2025, has been designated as National Community Development Week to celebrate the Community Development Block Grant (CDBG) Program; and,
  body
WHEREAS, the CDBG Program provides annual funding and flexibility to local communities to provide decent, safe, and affordable housing, a suitable living environment, and economic opportunities to low- and moderate-income people; and,
  WHEREAS, over the past three years, the City of Pittsburgh has received over $40.5 million in CDBG funds and has funded a variety of projects that have directly benefited our citizens and neighborhoods; and,
  WHEREAS, for over 100 years, the Urban League has been providing vital community services such as housing counseling and employment training to Pittsburgh residents, including nearly 1,000 city residents directly benefitted by CDBG dollars over the last three years; and,
  NOW, THEREFORE, BE IT RESOLVED, that the City of Pittsburgh designates the week of April 21-25, 2025, as “National Community Development Week” in support of this valuable program that has made tremendous contributions to the viability of the housing stock, infrastructure, public services, and the economic well-being of our city; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh urges the United States Congress and the Trump Administration to recognize the outstanding work being done locally and nationally with CDBG by supporting continued or increased funding for the program in FY 2026."
2025-1764,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318260&GUID=57C28A61-E978-40E2-9342-16C054345C75&Options=&Search=,"Title
WHEREAS, Friday, May 16, 2025, has been designated as the 27th Anniversary of the Annual “Take A Father to School Day” in the Pittsburgh Public Schools; and,
  Body
WHEREAS, this event involves every branch of the school district and consistently draws the participation of thousands of fathers and male guardians annually, with attendance exceeding 7,000 participants making it the largest engagement event in district history; and,
  WHEREAS, the goal of Take a Father to School Day, under the guidance of founder Mark Brently Sr. and the committee, is to bring men into the school building to establish better communication with schools, understand that they are welcomed in schools; and explore opportunities for volunteering and becoming more involved in their child’s education; and,
  WHEREAS, the 2025 celebration centers on the theme ""Pages and Promises: Fathers Building Literacy, One Story at a Time,"" emphasizing the critical role fathers play in cultivating a love for reading, strengthening literacy foundations, and creating lasting connections through the power of storytelling that educates, inspires, and uplifts; and
  WHEREAS, this year’s partners are the Carnegie Library of Pittsburgh, Pittsburgh Steelers, Pittsburgh Pirates, Pittsburgh Penguins and the Pittsburgh Science Center as well as a variety of other organizations that have continued to support the success of the Take a Father to School Day initiative over the years;
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby commend the thousands who participate and urges the entire Pittsburgh School District community to actively participate in this worthwhile event; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 22, 2025 to be “Take a Father to School Day” in the City of Pittsburgh."
2025-1765,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318261&GUID=C1F90E47-D323-400A-84C6-4C48CBB28523&Options=&Search=,"title
WHEREAS, Charles Henry Cooper born September 29th, 1926, to Daniel and Emma Cooper in Pittsburgh, PA.  Charles affectionally know as “Chuck” is a proud graduate of Westinghouse High School, class of 1944. After graduating from Westinghouse High School, Chuck briefly played a semester of college basketball at West Virgina State College (now University) before having to pause his college dreams to serve in World War II in the United States Navy and,
  body
WHEREAS, after serving in the U.S Navy, Mr. Cooper enrolled at Duquesne University where he became an All-American.  During Chucks time there, he started all four years and set the school record for total points of 990 in four seasons.  Mr. Cooper’s team had a 78-19 record and was invited to the then-prestigious National Invitation Tournament twice and,       
  WHEREAS, on April 25, 1950, Mr. Cooper became the first African American drafted into the NBA to the Boston Celtics, that chose him as the 14th overall pick.  Chuck was drafted by Celtics' owner Walter A. Brown, coached by the legendary Red Auerbach, and was the teammate of the great Bob Cousy.  Mr. Cooper played a total of 409 games, scored 2,725 points, had 2,431 rebounds, and 733 assists and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Charles “Chuck” Cooper Navy veteran, Duquesne University Graduate, National Basketball League (NBA) Legend for his commitment to community, serving his country and shattering racial barriers and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Tuesday, April 22nd, 2025, to be “Charles “Chuck” Cooper Day” in the City of Pittsburgh."
2025-1766,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318262&GUID=CACB5C3A-A0B1-4610-B9AE-ABFBB0159082&Options=&Search=,"title
WHEREAS, in 1872 Julius Sterling Morton, a newspaper editor and politician, established what would today be known as Arbor Day, a holiday dedicated to tree planting and environmental stewardship; and,
  body
WHEREAS, Morton’s enthusiasm about planting trees and preserving nature contributed to the planting of more than 1 million trees in Nebraska that year and helped launch Arbor Day into a holiday that is celebrated throughout the world; and,
  WHEREAS, Pittsburgh’s vast number of trees and vibrant parks help to enrich our everyday lives and enhance the beauty in our communities; and, 
  WHEREAS, Pittsburgh’s tree population plays a vital role in fostering a healthier environment by mitigating the lasting effects of the city’s industrial history; and,
  WHEREAS, officially established in 1867, Allegheny Commons Park has evolved into a cherished community space, known for its mature canopy trees, wide promenade, and role as the Northside’s front yard; and,
  WHEREAS, the citizen-led advocacy group, the Allegheny Commons Initiative, has been instrumental in preserving Allegheny Commons Park as a welcoming and vibrant place for all; and,
  WHEREAS, in partnership with City Forestry, the Pittsburgh Parks Conservancy, and Tree Pittsburgh, the Allegheny Commons Initiative has successfully designated Allegheny Commons Park as an official arboretum, ensuring its continued study, preservation, enjoyment as a vital green space; and,
  WHEREAS, the designation of Allegheny Commons Park as an arboretum marks a significant milestone in protecting and promoting biodiversity in our region, further solidified by its Level 1 accreditation from the Morton Arboretum; and,
  WHEREAS, the City of Pittsburgh is celebrating 20 years as a Tree City USA.
  NOW, THEREFORE, BE IT RESOLVED that the Council of the City of Pittsburgh does hereby recognize and officially celebrate Arbor Day on April 26th, 2025, here in the City of Pittsburgh, and does commend Allegheny Commons Park’s designation as an arboretum that will protect and preserve its rich and valuable ecosystem."
2025-1767,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7349889&GUID=A9A22F45-06A4-4893-ABCA-8877DD9DD453&Options=&Search=,"title
WHEREAS, since 1975 Partners For Quality (PFQ)has been providing administrative management services to numerous non-profit human service subsidiary agencies in Western Pennsylvania in areas such as Human Resources, staff training, Fiscal, I.T, Operations, Communications and Fundraising; and,
  body
WHEREAS, by consolidating and overseeing administrative responsibilities, Partners For Quality’s subsidiaries are empowered to focus on and support the individuals they serve; and,
  WHEREAS, the numerous non-profits under Partners For Quality supports more than 4,000 individuals with intellectual and developmental disabilities and behavioral challenges; and,
  WHEREAS, on April 26th, 2025 Partners For Quality will be hosting their fourth annual Steel City Duck Derby fundraiser to support local individuals with intellectual and developmental disabilities and behavior challenges; and,
  WHEREAS, people from all over are invited to “adopt a duck” to participate in the derby race at Lake Elizabeth, where all proceeds will benefit the numerous non-profit agencies supported by Partners For Quality; and,
  NOW, THEREFORE, BE IT RESOLVED that the Council of the City of Pittsburgh does commend Partners For Quality for their continued dedication to providing impactful services to those in need and for being an active member in the community;
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh hereby declares Saturday, April 26th, 2025, to be “Steel City Duck Derby Day” here in the City of Pittsburgh."
2025-1768,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7349890&GUID=00BCEF3C-04E7-4C22-BFDC-C983142DABC8&Options=&Search=,"title
WHEREAS, the Herb Society of America was formed in 1933 by seven women from New England who were interested in learning more about the botany and horticulture of herbs; and,
  body
WHEREAS, our local chapter, the Western Pennsylvania Unit of the Herb Society of America, was founded in 1958; and,
  WHEREAS, at the invitation of the Pittsburgh Civic Garden Center, the forerunner of the Phipps Garden Center, the Western Pennsylvania Unit of the Herb Society of America was invited to create a demonstration herb garden in Mellon Park in 1976; and,
  WHEREAS, the Elizabethan Herb Garden in Mellon Park was designed and created by a member of the Western Pennsylvania Unit in 1977; and,
  WHEREAS, the Mellon Park Herb Garden has evolved over the years to accommodate historical occasions, changing times, and the inspiration of the herb garden coordinator; and,
WHEREAS, the Elizabethan Herb Garden has hosted visits from national chapter members of the Herb Society of America and students of Master Gardner classes at Phipps Garden Center; and,
  WHEREAS, the garden has added plant tags in Braille that have enabled students from the Western Pennsylvania School for Blind Children to learn more about the herbs in the Elizabethan Herb Garden; and,
  WHEREAS, the Garden has been used for photography and botany classes, allowing local students to sharpen their skills and expand their educational horizons; and,
  WHEREAS, the Elizabethan Herb Garden has now grown to thirteen beds, encompassing the many aspects of a true herbalist’s garden; and,
  WHEREAS, the Garden now welcomes visitors from the region, the country, and around the world.
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize the Elizabethan Herb Garden in Mellon Park as a place of beauty, respite, and learning; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 26, 2025, to be “The Western Pennsylvania Unit of the Herb Society of America Day” in the City of Pittsburgh."
2025-1746,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318242&GUID=28603CC7-A79F-49A8-B268-EC8AB7F1AB1B&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh Ball Hockey (“Team Pittsburgh”) for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Body
WHEREAS, LiveBarn is a sports streaming network which offers amateur and youth sports broadcasting through their equipment and software; and
  WHEREAS, Team Pittsburgh seeks to live-stream ball hockey games based at Marmaduke Park, located at 3915 Oswald St, Pittsburgh, PA 15212.
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1. The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Section 2. Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
2025-1746,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318242&GUID=28603CC7-A79F-49A8-B268-EC8AB7F1AB1B&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh Ball Hockey (“Team Pittsburgh”) for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Body
WHEREAS, LiveBarn is a sports streaming network which offers amateur and youth sports broadcasting through their equipment and software; and
  WHEREAS, Team Pittsburgh seeks to live-stream ball hockey games based at Marmaduke Park, located at 3915 Oswald St, Pittsburgh, PA 15212.
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1. The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Section 2. Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
