rank,label,headline,score_mu,score_sigma,score_95ci
1,G5,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,43.01,2.99,5.86
2,G23,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,41.19,2.57,5.04
3,G18,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",39.36,2.57,5.04
4,G17,City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,37.92,2.52,4.94
5,G15,Council approves a public hearing to gather resident ideas on the city's trash problem.,35.2,2.36,4.63
6,G3,"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",34.8,2.4,4.71
7,G11,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,32.57,2.25,4.42
8,G14,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,32.12,2.22,4.36
9,G10,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,30.63,2.13,4.17
10,G6,"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",29.34,2.2,4.31
11,G25,Council recommends a sewage plan update for a new townhome development on the South Side.,28.29,2.15,4.21
12,G1,Legislation introduced to expand residential permit parking in the South Side Flats.,27.57,2.36,4.62
13,G13,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,27.21,2.12,4.15
14,G22,Council approves expanding the residential permit parking area in the South Side Flats.,25.85,2.14,4.19
15,G26,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.",24.89,2.0,3.91
16,G24,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,23.67,2.17,4.25
17,G21,A city committee recommends allowing residential parking permit signs in some non-residential areas.,22.49,2.15,4.21
18,G19,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,22.36,2.13,4.18
19,G2,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,20.29,2.31,4.53
20,G9,"City to pay $72,500 for overdue 811 utility call debts.",19.84,2.35,4.61
21,G7,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",18.92,2.37,4.64
22,G4,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,18.16,2.52,4.94
23,G0,Council introduces legislation to clarify rules for posting residential parking permit signs.,16.76,2.71,5.3
24,G20,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,13.27,2.76,5.4
25,G12,"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",11.54,2.85,5.59
26,G16,Council committee recommends canceling a property sale and refunding the buyer's hand money.,9.52,2.98,5.83
27,G8,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",6.66,3.33,6.52
