rank,label,headline,score_mu,score_sigma,score_95ci
1,G26,Bakery Square rezoning plan with new affordable housing moves forward to a public hearing.,45.47,2.26,4.43
2,G24,City recommends a $5.4 million funding increase for the Liberty Avenue safety project.,44.53,2.26,4.43
3,G17,City Council calls for future discussions on the Oakland Business Improvement District and the affordable housing bond.,43.37,2.24,4.39
4,G30,City Council recommends an agreement for the City and PennDOT to share equipment and maintenance services.,41.53,2.19,4.28
5,G20,Council committee recommends adding $1.06 million in federal funds for a Liberty Avenue project.,40.91,2.18,4.28
6,G29,"Council recommends an additional $382,000 for the Haverhill road and stormwater project.",39.28,2.18,4.27
7,G28,"Council recommends an additional $93,000 for vehicles and equipment for the Office of Community Health and Safety.",38.11,2.17,4.25
8,G25,"Council approves an additional $317,588 in costs for the South Negley Avenue Bridge project.",36.16,2.12,4.16
9,G14,"Council approves $125,000 in state grant funding to purchase vehicles for the recycling program.",34.08,2.14,4.19
10,G23,"City accepts a reduced $250,000 state grant for the Smallman Street project.",33.55,2.04,4.0
11,G10,City Council authorizes 56 additional contracts for on-call professional services.,33.17,2.04,4.0
12,G6,"Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project.",33.01,2.14,4.19
13,G2,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,31.61,2.27,4.45
14,G3,Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.,30.62,2.16,4.23
15,G12,"City Council approves $35,025 for portable restrooms in city parks.",30.41,2.08,4.08
16,G18,"Council committee recommends accepting $316,367 settlement for Finland Street Pedestrian Bridge.",28.4,2.14,4.19
17,G21,City Council delays a decision on the sale of a 23rd Ward property for green space and parking.,26.98,2.17,4.26
18,G7,"Additional $115,170 proposed for Fort Pitt Park improvement designs.",26.53,2.1,4.12
19,G15,"City Council approves $17,204 to renew flood control authority membership.",26.29,2.15,4.21
20,G16,City Council authorizes a no-cost agreement with the Pittsburgh Downtown Partnership for Market Square improvements.,25.02,2.19,4.29
21,G19,Council recommends switching to USI Insurance Services as the city's new insurance broker.,24.95,2.17,4.26
22,G8,Council introduces a resolution to transfer salary funds for staff tuition reimbursement.,21.18,2.28,4.48
23,G5,"Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500.",21.07,2.24,4.4
24,G1,"City to pay $72,500 for overdue damage prevention debts.",20.06,2.31,4.53
25,G9,City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.,19.02,2.41,4.73
26,G22,"A City Council committee recommends spending $32,750 in grant money on new police recruitment videos.",18.3,2.51,4.91
27,G27,Council holds vote on Downing Street steps agreement for six weeks.,13.14,2.73,5.35
28,G13,"Council approves an $11,424 one-year contract for Law Department software support.",12.59,2.81,5.51
29,G4,"City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600.",12.5,2.8,5.5
30,G0,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",11.57,2.88,5.64
31,G11,"Council approves purchase of a nearly $13,500 diagnostic tool for Public Works vehicles.",10.36,2.98,5.84
