Headline 1,Headline 2
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council considers sewage plan revision for Hermitage Street development at no cost to city.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City's official sewage plan to be updated for new Hermitage Street development.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
"Council transfers $10,000 from salaries to City Clerk's office for professional services.",Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
