Headline 1,Headline 2
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","City to pay $72,500 for overdue damage prevention debts."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
"Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
