Headline 1,Headline 2
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council refers ordinance clarifying residential parking permit signage rules to committee
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council refers ordinance clarifying residential parking permit signage rules to committee
"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm"
Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
Council introduces legislation to clarify rules for posting residential parking permit signs.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
Council refers ordinance clarifying residential parking permit signage rules to committee,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",Council introduces legislation to clarify rules for posting residential parking permit signs.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council refers ordinance clarifying residential parking permit signage rules to committee
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",Council introduces legislation to clarify rules for posting residential parking permit signs.
