"DataPoint_ID","Task_Group_ID","Task_Type","Question","Headline 1","Headline 2","Annotator1_ID","Annotator1_Response","Annotator1_Timestamp"
"01983839-0949-7210-8455-09ae66ede568","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages","Council holds resolution on cooperation agreement for Downing Street steps for six weeks","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983839-0fe6-711d-8d29-e5bb838c0aea","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs","14 Acre Bakery Square Expansion Moves Forward with Two Key Amendments Ready for Public Hearing","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.766Z"
"01983838-c20b-74c8-bd4b-d7a7be676dcb","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.","Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-b5ad-74c8-a457-35d585d33e75","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025","Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond","67325d10b9e0c58d803cd7ba","Headline 2","2025-07-23T17:10:03.766Z"
"01983838-cb49-775f-932b-a4ff25faab64","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","City Council delays a decision on the sale of a 23rd Ward property for green space and parking.","Council recommends switching to USI Insurance Services as the city's new insurance broker.","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-cb67-7068-90bb-cb7833e490f3","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract","Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review","67325d10b9e0c58d803cd7ba","Headline 2","2025-07-23T17:10:03.765Z"
"01983838-edca-77e0-9b90-1b339f550b7a","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Open-Ended Professional Services Contracts Add 27 Unspecified New Vendors","Council approves amended grant and funding for Smallman Street Complete Street Project","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-8efb-74b8-b9de-a4299c8c9284","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council recommends an additional $382,000 for the Haverhill road and stormwater project.","City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.","67325d10b9e0c58d803cd7ba","Headline 2","2025-07-23T17:10:03.765Z"
"01983839-08a1-7322-8653-7f91f2fc34ed","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages","Council amends and holds zoning map changes for public hearing in Bakery Square area","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.766Z"
"01983838-507a-7369-b561-d5a461f4f680","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.","Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-5fad-75a2-8da7-078ffc566c80","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs","Council approves agreement with PennDOT to share in-kind services at no cost to city","67325d10b9e0c58d803cd7ba","Headline 2","2025-07-23T17:10:03.766Z"
"01983838-4890-72d2-ba15-044839a1338c","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500.","Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-c1b5-747d-91d4-4640cdc0bda5","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.","Council approves over $1 million in additional federal funding for Liberty Avenue road project.","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.765Z"
"01983838-2577-7369-9579-450f40548c57","0a0de665-43d2-5171-8d0c-74ce7b289338","multiple_choice","Which headline do you have a stronger opinion about?","Council approves $125,000 transfer for new recycling vehicles through state grant","Council approves $52,962 subscription payment to Pennsylvania Municipal League","67325d10b9e0c58d803cd7ba","Headline 1","2025-07-23T17:10:03.766Z"
