DataPoint_ID,Task_Group_ID,Task_Type,Question,Headline 1,Headline 2,Annotator1_ID,Annotator1_Response,Annotator1_Timestamp
0198330a-babf-72fe-aa9f-e7d797ccbf18,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.","Council approves $32,750 contract for video production company to create police recruitment videos.",666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.409Z
0198330a-7353-769d-83da-077492d001e9,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.","Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs.",666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330a-8343-73db-8725-594f8236c759,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council holds decision on EMS student training agreement with Community College of Allegheny County,Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.408Z
0198330a-3271-771e-9811-3d3693b27bcc,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council adopts sewage plan revision for 296 McKee Place at no cost to the city,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330a-1765-7388-b544-5a07a4055172,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council refers resolution to approve sewage plan for South Side townhome development to committee.,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.409Z
0198330b-2d6f-773a-a90f-8a172c07e7f2,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",City Receives State Funds for New Lighting Along Penn Ave in East Liberty,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330a-68fc-72a6-962c-f79a9326e3e1,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.409Z
0198330a-b1b3-77c9-899f-315eb7798318,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330a-ef32-746a-888c-9ecb085f8548,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.408Z
0198330b-0147-715f-ba01-ac2fd9095506,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.408Z
0198330a-fd5e-764a-8abd-3bebb2b31051,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.409Z
0198330a-3d9c-73ae-a504-8cf45a93296e,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.408Z
0198330a-49d8-777a-89c9-50b0bc1a3043,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.409Z
0198330b-01e2-701d-ae9f-8aea72e6d974,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council recommends paying a $72,500 debt for 811 damage prevention calls.",Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330a-f2ff-7617-9744-b4adc727a32c,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,Council delays decision on agreement allowing community college students to train with city emergency medical services.,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330b-1633-7089-a6ae-b8797c0c2e18,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,Council Seeks State Assistance in Eliminating the City’s Litter and Illegal Dumpsites,Council adopts sewage plan revision for 215 South 21st Street at no cost to city,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.408Z
0198330b-0127-77de-8798-2357a936fc1f,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,666b244bac74ea78dd24a8a2,Headline 2,2025-07-22T17:01:46.408Z
0198330b-1e92-75db-af87-46f510ebff28,0abebae6-69dc-5bad-a3fe-07fdf902cde1,multiple_choice,Which headline do you have a stronger opinion about?,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Council Seeks State Assistance in Eliminating the City’s Litter and Illegal Dumpsites,666b244bac74ea78dd24a8a2,Headline 1,2025-07-22T17:01:46.409Z
0198330a-ddca-74ff-8236-238d9cee3967,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629.","Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",674c8549a9fd90b7c8dda9d3,Headline 1,2025-07-22T17:01:28.285Z
0198330a-40c9-7696-aae0-09f4ebfed425,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,674c8549a9fd90b7c8dda9d3,Headline 1,2025-07-22T17:01:28.285Z
0198330a-3801-70be-89dc-d670e083ccbc,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,674c8549a9fd90b7c8dda9d3,Headline 2,2025-07-22T17:01:28.285Z
0198330a-0c99-7357-b709-c83195810222,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,674c8549a9fd90b7c8dda9d3,Headline 2,2025-07-22T17:01:28.286Z
0198330a-4a72-756a-8f6f-48348c2fc72b,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,674c8549a9fd90b7c8dda9d3,Headline 2,2025-07-22T17:01:28.286Z
0198330a-e433-72ed-80dc-629bc5755ef5,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.","Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",674c8549a9fd90b7c8dda9d3,Headline 1,2025-07-22T17:01:28.286Z
0198330b-211a-71a9-9860-ed94bbcf2810,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,"Council recommends paying a $72,500 debt for 811 damage prevention calls.",Council Seeks State Assistance in Eliminating the City’s Litter and Illegal Dumpsites,674c8549a9fd90b7c8dda9d3,Headline 2,2025-07-22T17:01:28.286Z
0198330a-549b-702e-bf35-690500ee3842,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,Council delays decision on sale of 23rd Ward property.,Council refers sewage plan for new South Side townhome development to committee.,674c8549a9fd90b7c8dda9d3,Headline 2,2025-07-22T17:01:28.285Z
0198330a-d477-7649-b6dc-9f56673c2944,0bc38aa7-626c-5328-bf16-0f25a0a9e3a8,multiple_choice,Which headline do you have a stronger opinion about?,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.","Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",674c8549a9fd90b7c8dda9d3,Headline 1,2025-07-22T17:01:28.285Z
