"DataPoint_ID","Task_Group_ID","Task_Type","Question","Headline 1","Headline 2","Annotator1_ID","Annotator1_Response","Annotator1_Timestamp"
"01983869-118d-73ed-b60e-35415aca525a","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Bill to Allow Pollinator Gardens and Natural Landscapes Introduced","New ordinance clarifies which streets and at what times residential parking permits will be enforced.","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.628Z"
"01983868-f800-709a-866b-6a46b7b885ed","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","$33,292 transfer for council staff tuition reimbursement is held for six weeks.","The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.627Z"
"01983868-b509-703e-999d-a5a45d87f1e8","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Council approves sale of 14 city-owned lots in Larimer for $26,677.","City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.","5bf60af65dd66900011aca05","Headline 1","2025-07-23T18:00:58.627Z"
"01983869-2824-7122-b7f3-0e2437b6f891","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Untested Sexual Assault Kits to Be Processed","Council cancels sale of 136 Bodkin Street property and orders refund of hand money.","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.628Z"
"01983868-cbdd-75bb-8aff-a9e0e6704e8e","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.","Council holds public hearing on bill to reduce minimum lot sizes for residential development.","5bf60af65dd66900011aca05","Headline 1","2025-07-23T18:00:58.628Z"
"01983869-01ff-7432-83db-5b54de1c372a","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Riverlife Barge Venue to Dock at Allegheny Landing Park","Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.628Z"
"01983868-f472-7299-8438-f9186a459ffa","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Council holds resolution to sell city-owned property on Itin Street for $3,755.","Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.","5bf60af65dd66900011aca05","Headline 1","2025-07-23T18:00:58.627Z"
"01983868-65bd-7499-b1c4-67a0e4953b38","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park","City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.628Z"
"01983868-db36-7227-bb1c-a3f98f2ed2fc","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","New ordinance clarifies which streets and at what times residential parking permits will be enforced.","The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.","5bf60af65dd66900011aca05","Headline 1","2025-07-23T18:00:58.627Z"
"01983868-cfd3-715d-9a10-cb703343a9a7","0b48bd5b-56be-5966-8477-796da7f636e0","multiple_choice","Which headline do you have a stronger opinion about?","Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.","Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.","5bf60af65dd66900011aca05","Headline 2","2025-07-23T18:00:58.627Z"
