,sentence,classification
0,Good afternoon.,i
1,"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.",b
2,"We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.",i
3,"Stephanie Gagne, Management Analyst for the City.",i
4,Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,i
5,"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.",i
6,Lisa Frank: I'm the City's Chief Operating Administrative Officer.,i
7,"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.",i
8,"Okay, go ahead.",i
9,"All right, thank you.",i
10,"All right, let me get started here.",i
11,So we are going to run through information.,i
12,"We're going to start with a presentation today talking about why we chose Vision Zero as our strategy to achieve zero traffic fatalities and serious injuries, what our commitment looks like- our first year, our intergovernmental working group and Vision Zero subcommittees, as well as 2025 and beyond.",i
13,All right.,i
14,So the reason we chose to commit to Vision Zero Last year.,i
15,Mayor Gini has been consistent that his North Star is making Pittsburgh the safest city in America.,i
16,We can only do this by making sure this touches all aspects of public safety.,i
17,"So, on average, each year, 20 people are killed due to crashes and about 123 people are seriously injured.",i
18,We know this number is unacceptable and the only acceptable number is zero.,i
19,"By committing to Vision Zero, we are committing To solving this problem through a holistic approach and establishing partnerships across sectors to solve this issue.",i
20,"So, as I mentioned last March, Mayor Gini and Council Member Warwick partnered to pass legislation that formally commits the city to Vision Zero.",i
21,This legislation also directed departments to form an interdepartmental working group that we have now formed and we will get into a little bit later in this presentation.,i
22,So we have a new working group that we have now formed and we will get into a little bit later in this presentation.,i
23,This is a new working group that we have now formed and we will get into a little bit later in this presentation.,i
24,This is a new working group that we have now formed and we will get into a little bit later in this presentation.,i
25,"Pittsburgh now joins multiple other cities throughout the Commonwealth, for example, Bethlehem, Harrisburg, Lancaster and Philadelphia, in adopting Vision Zero.",i
26,"Pittsburgh now joins multiple other cities throughout the Commonwealth, for example, Bethlehem, Harrisburg, Lancaster and Philadelphia, in adopting Vision Zero.",i
27,We are also joining cities from all across the United States as well as other countries.,i
28,"So the purpose of our blossoming mission, passion and survivalp company to be creative is based on ideas, based on theétait tal catastividade, Mueller, Combat, doubt and its recite flute firm Pip Pope is the direct weapon that gives resources to the effective people in Washington Army.",i
29,"Sorry of our working group is to make sure we're eliminating interdepartmental and interagency barriers to collaboration so that we can design and implement engineering, educational and enforcement solutions to ensure zero drivers, pedestrians or cyclists are killed and seriously injured on our streets.",i
30,"we've established this working group with director level leadership from various departments and agencies, including the mayor's office, city council, the department of mobility and infrastructure, public safety, the police, public works, the law department, the department of innovation and performance, the office of management and budget, the department of city planning, parking authority, allegheny county, penn, dot pittsburgh, regional transit and the southwestern pennsylvania commission.",i
31,"so, as you can see, these are a vast leadership majority that we're working together to achieve vision zero and this group really sets the vision and assigns work to representatives on more of a staff level in our subcommittee so that they can work on things on a more day-to-day basis.",i
32,"so, getting a little bit into each of our subcommittees, one of the ones we knew we had to establish right off the bat was one dedicated to enforcement.",i
33,"so, as you can see, we we have representatives from the mayor's office, council, omb, domey, police, public safety, imp and the parking authority.",i
34,one of the things that we really wanted to kick off immediately with this subcommittee was automated red light enforcement.,i
35,"so, as of last fall, we had legislation introduced and passed that authorized automated red light enforcement at the local level, and we're working with the subcommittee to get that done.",i
36,and we're working with the subcommittee to get that done.,i
37,and we're working with the subcommittee to get that done.,i
38,and we're working with the subcommittee to get that done.,i
39,and we're currently in the process- the bid process- for selecting a vendor to launch that program this year.,i
40,"so we'll be able to launch to multiple locations- see how that goes- and we will be joining other cities in the commonwealth as well, like philadelphia, who has shown that this kind of program can help to reduce crashes and especially fatal and serious injury crashes.",i
41,"we're just quickly just to mention that we've been joined by council member mosley, so thanks.",i
42,"we're just quickly just to mention that we've been joined by council member mosley, so thanks, thanks.",i
43,we're also working on an education and enforcement program.,i
44,"i'm partnering with our police, our safer together coordinators in public safety, as well as our zone councils to look at the parking issues in particular of each neighborhood.",i
45,"so, for example, if you have a lot of sidewalk parking in your neighborhood, maybe people are parking on the ada ramps.",i
46,"what we're doing for this particular program is going to be educating our neighbors first and foremost, because a lot of people don't understand that when you park on a sidewalk or you're blocking an ada ramp, you are making it very unsafe for people walking using mobility devices as well as pushing strollers and things like that.",i
47,"so we would like to start with educating before moving into partnering with our police to enforce, if necessary, and write tickets.",i
48,we will also be starting to coordinate advocacy efforts at the state level for automated speed enforcement.,i
