,sentence,classification
0,"All right, welcome to our public hearing for Bill 2025-1579, And today is April 23rd 2023.",b
1,"I'm Bobby Wilson, I represent Council District 1 and I am the chair of the Land Use and Economic Development Committee.",i
2,"Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk.",i
3,please read the bill.,i
4,relative to 2025: Bill 1579.,b
5,Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.,i
6,"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots.",i
7,"Thank you, And for the record, I want to note that we are joined.",i
8,I'm trying my best to see who's in chambers.,i
9,"we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here.",i
10,"All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with.",i
11,"With that, we will start with our first speaker, David Brangham.",i
12,"I'm sorry, we're going to let Planet go first.",i
13,"I apologize, David.",i
14,"We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience.",i
15,"Yes, hello, We'll introduce ourselves.",i
16,"Andrew Dash, I'm the Deputy Director, Department of City Planning.",i
17,"Corey Lehman, Chief Zoning Officer.",i
18,"Zoning Administrator, City Planning.",i
19,"Paul Kinsella, Principal Planner with the Department of City Planning.",i
20,"All right, thanks for coming.",i
21,"Yep, thanks, And just go ahead with a short presentation.",i
22,So this is Council Bill 2025-1579.,i
23,This is primarily changed to minimum lot sizes is what this bill is intended to do.,i
24,So this minimum lot size reform bill.,i
25,this comes from a recommendation from the 2022 Housing Needs Assessment that was done with the Department of City Planning.,i
