sentence,classification
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 8th 2025.",b
Would the clerk please take the roll?,b
"Mr Sharland, Mr Coghill, Ms Gross, Mr Mosley, Mrs Kale-Smith, Mrs Strasburger, Mrs Warwick, Mr Wilson, Mr Lavelle-President- six members present.",i
Please rise for the Pledge of Allegiance.,b
Remain standing for a moment of silence.,i
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i
Thank you very much.,i
Our next order of business is to amend the agenda.,b
"There is a motion to amend, So moved Second.",i
"All those in favor say aye, Aye.",i
The agenda has been amended.,i
Our next order of business is proclamation.,b
We have two to be presented.,i
"Councilman Smith is not here yet, So let's move on to those being read into the record, One by Councilman Mosley and then two by Councilman Smith.",i
"Councilman Mosley, Councilman Mosley presents.",b
"Be it further resolved that the Council of the City of Pittsburgh does hereby declare Saturday, April 5th 2025 to be Dr Christine White Taylor Day in the City of Pittsburgh.",i
"that the Council of Council of the City of Pittsburgh does hereby declare Tuesday, April 8th 2025 to be the on the City of Pittsburgh, armpal, Robert J And Capitolless Nestle, very present.",b
"Be it further resolved that the Council of the City of Pittsburgh, that the Council of The City of Pittsburgh does hereby Anwer stadium King And Councilman Smith a protest Pet shirt from our Hall, Median, City Hall council matters and, as you saw in this outfit, will establish as well.",b
has Gmail fromnh lighter Rahm L influencing each other's things.,i
"as to theria nee spray those that the Council of the City of Pittsburgh does hereby declare Tuesday, April 8th 2025 to be the honorable Robert Jay Coleman bill day in the city of Pittsburgh.",b
"Council woman Smith, also presents.",b
be at further res ob.,i
"Anyways, that Council of the City of Pittsburgh does hereby declare Tuesday, April 820 pg to be very honored Every Mary Jane Bowes day in the city of Pittsburgh.",i
maybe have a motion to approve all three proclamations.,i
"all those in favor say aye, aye.",i
any opposed.,i
all three have been approved.,i
that takes us.,i
we'll move on now to councilman Shaolin's not here.,i
so we'll hold our will of counsel.,i
so we'll move on to public comment.,p
"I would like to remind everyone the rules of council state that comments are limited to matters of concern, official action or deliberation which may be for City Council, and profanity will not be permitted.",i
"once you recall, please restate your name, provide your neighborhood for the record.",i
you'll be given three minutes to speak.,i
our first registered speaker is a Zosia minifield.,p
I don't see her online.,i
"is a Zosia minifield with us, if not our next registered speakers, dr Ronald Lynn Miller, Germantown and London, United Kingdom, and Berlin, Germany- I think they should be allies of Pittsburgh City.",p
"I'm a Global Intelligence Society candidate for president 2028 global information intelligence network, net no spaces.",i
"April 2025 is European intelligence month, which I founded in 2010.",i
"Europe is a the second region for science Nobelists: North America, the Americas is number one And that is led by the United Kingdom and Deutschland.",i
Concerns of council include the vote and local city security.,i
This is consistent with my initiative: one vote by voter verification for whom?,i
