sentence,classification
"Good morning and welcome to the standing committee's meeting for Wednesday, April 23- 2025.",b
All council meetings will be live streamed on the city's website and for guest speakers joining us at the table.,i
please do not turn off your microphones.,i
Our first order of business is roll call.,b
Will the clerk please take the roll?,i
Mr Charlton Here.,i
"Mr Coghill, Ms Gross Here.",i
"Mr LaValle Here, Mr Mosley, Ms Kelsmith, Ms Warwick, Mr Wilson Here.",i
Ms Strasburger Chair Here.,i
"Five members present, Thank you.",i
Our next order of business is public comment.,p
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before city council, and profanity will not be permitted.",i
Please state your name and neighborhood for the record.,i
"You will have three minutes to speak And we do not have any registered speakers, so anyone who would like to speak can approach the podium and you will have three minutes.",i
"Mr Coghill, Good morning.",i
My name is Yvonne F Brown.,p
I live at 715 Mercer Street.,i
That's the high rise at the top of Bedford.,i
"Now on April the 22nd, on KDKA, I heard Cory O'Connor having an interview.",i
Now some of the things that he said and I took it from this.,i
he said that he said that he was going to be a member of the KDKA.,i
and he said that he was going to be a member of the KDKA.,i
"He tried to make an appointment with the mayor but the mayor has a nonprofit organization, family something and he could never get an appointment.",i
"Well, the same way with me.",i
"I live up in the KDKA and when the mayor came up to the building and brought a proclamation and a plaque for Salah Uddin's previous council meeting, the councilman's brother, who had just moved into the city, came from California.",i
"He had came in and he gave him a proclamation and a plaque for cleaning up in front of August Wilson's house, which is up on Bedford.",i
When that happened I was really upset.,i
"I'm saying, how did he even know about August?",i
how did he even know about Salah Uddin's brother?,i
That's one of his cronies?,i
"So I went to the mayor and I said, Mayor, I don't want to foreshow or bring light on you without me explaining what it's about.",i
I want to know how you knew about Salah Uddin's brother.,i
He got very offensive.,i
"He said: well, you got a problem with it?",i
"And I said, yes, I do, Because August Wilson told me to keep coming down and telling my story, otherwise it's history, your history.",i
"Okay, This mayor, I don't appreciate him and I don't think that he is mere material.",i
And I was saying something to the community.,i
"I'm saying: did you see how much did the mayor only got like 20,000 or 30,000 in his campaign.",i
"But Cory O'Connor got 300,000.",i
"And I'm saying, but he's Irish.",i
"And then I remember, oh, his mother was Jewish.",i
"So, citizen The Jewish, have that, The Jewish have that O'Connor.",i
O'Connor probably will be the mayor.,i
"Now, one thing I do must say about O'Connor: you gotta give credit where credit's due.",i
He had much respect for us citizens in this place.,i
He would be there at 10 o'clock sitting and waiting.,i
"He would speak to me, even though his father didn't and my councilmen don't, And he would say: Ms Brown, how are you today?",i
"And I looked at him and I said: you know what, Cory, if your father knew that you were, if you treated me the way you are, I said he would turn over in his grave Because O'Connor did not like me and I did not care for him because he was not that good of a president.",i
"Thank you, and just have a nice day.",i
"Thank you, Ms Brown.",i
"Next speaker, please?",p
"Hi, my name is Herbert Flaherty Jr.",i
I've been living in this.,i
"actually, I'm just a city resident.",i
I'm homeless.,i
right now I'm in and out of jail.,i
"a lot- institutions, programs- I notice a lot of things in this city, in the jail and in all the programs and things the city has to offer- which it ain't much, You know- I notice a lot like they'll push you to jail or to this program or to this program, to this program to keep putting a Band-Aid on a problem.",i
I'm 36 years old.,i
I was born in 89.,i
I grew up in a city that was a little bit more of a place where you could go to church And the city always wasn't the greatest growing up.,i
You know what I mean.,i
It was a rough city.,i
"Most people didn't have an education And we grew up living the streets And as I got older and I started to go to church, I found God.",i
"I started going to jail And I started looking like there's no real reform, There's no real education And I started going to the renewal center or the ACJ or all these programs And they don't teach anybody anything.",i
"It would be cost efficient and cheaper to teach criminals or people that are uneducated, a trade just in anything.",i
"You know what I mean In chemical, engineering and carpentry and skills like that, A place where you could go.",i
"instead of being housed at 952nd Avenue or 339 Boulevard of the Allies, they could have a place like that.",i
It was a place where you could go.,i
"They could have a place like that where they offer people an educational program the whole time they're there, Like a DOC program with college tutors and stuff there.",i
"You know what I mean: To teach people a proper education, because the city has an entire asset of a workforce.",i
You know what I mean.,i
There's got to be at least I know maybe a million people without a job that are able to work- You know what I mean- That are able to learn something and get an education And they're probably willing to be taught if they could be housed in a place like a Job Corps.,i
"You know, most people don't see the light until they're 25 And it's too late to go to Job Corps.",i
"It's too late to do this, It's too late to that And they get institutionalized and they just keep going back to jail, rehab, the streets, renewal center, wherever.",i
"And if the city, I want to draw up a proposal for a lot of things And if the city could give the youth, or even the youth, even people that are older, an education- you know what I mean- And house them properly and give them a chance to learn and succeed and thrive.",i
Maybe a new building or a college campus to teach adults how to be productive members of society.,i
You know what I mean.,i
"I think that would be more cost efficient than sending them to rehabs, jails or being homeless or all over the city time and time after time.",i
"Thank you, Thank you very much.",i
"Thank you, Thank you very much.",i
"Next speaker, please, Good morning.",p
Special Agent Sunshine.,i
"Thank you, Lord, for bringing me here.",i
"I return to sender any voodoo, hexes, curses, anybody tries to send to me Death magic y'all been doing every day, daily.",i
"I return it to sender 100 million, billion, trillion, Googleplex And whoever's sending it.",i
"Lord, throw them into a lake of fire.",i
"In Jesus' name, I pray amen.",i
"Dear God, thank you for equipping me to represent you in this world.",i
Please give me the strength and wisdom to reflect you well so that others are drawn to you.,i
That's a lot he has me doing out here y'all.,i
