,sentence,classification
0,"Good afternoon and welcome to Pittsburgh City Council's cablecast post agenda on Pittsburgh Waters flood mitigation projects for today, April 22nd 2025.",b
1,"We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.",i
2,"Thank you, Do we have Here?",i
3,"we go, All righty, Great, Oh yeah, does someone want to come down to this one here?",i
4,"Yeah, maybe just everyone slide down.",i
5,What are we doing?,i
6,I don't know.,i
7,"All right, it's okay, Great, So, yeah.",i
8,"so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.",i
9,"Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.",i
10,"So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",i
11,I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,i
12,I'm Jen Persutti.,i
13,I'm the CFO for Pittsburgh Water.,i
14,"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.",i
15,"I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",i
16,I am Jen Cristobal.,i
17,I'm the Planning Section Chief for Army Corps of Engineers.,i
18,"Hi, my name is Mark Locheski.",i
19,"I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",i
20,Rebecca's bringing up our presentation.,i
21,I'm Jess Andresen.,i
22,I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,i
23,And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,i
24,I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,i
25,So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,i
26,"There we go, So on our agenda today.",i
27,we've gone through the welcome and the introductions.,i
28,We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,i
29,"Thank you, Tony, will talk to you about our stormwater program.",i
30,"We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.",i
31,"And then, of course, as we end, we're happy to answer any questions that anyone may have.",i
32,"So, as a little bit of background, Pittsburgh Water is a public authority.",i
33,We serve the public.,i
34,"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",i
35,An investor-owned utility has shareholders.,i
36,they have investors.,i
37,We have none of that.,i
38,"Every dollar that we collect from our rate payers, it goes right back into our systems.",i
39,We have a commitment to protecting public health and the environment And we also have drivers of investment.,i
40,"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.",i
41,"Okay, So our water reliability plan is a once-in-a-generation plan.",i
42,It is a mandated plan for Pittsburgh Water by our regulators.,i
43,It is court ordered.,i
