sentence,classification
"Good morning and welcome to the standing committee meeting for Wednesday, April 2nd 2025.",b
Would the clerk please take the roll.,b
Mr Sharland Here.,i
"Mr Coghill Ms Gross, Mr Mosley Here.",i
Mrs Killsmith Mrs Warwick Here.,i
Mr Wilson Mrs Strasberger Here.,i
Mr Lavelle Chair Here.,i
"Five members present, Thank you.",i
Our next order of business is public comment.,p
"I would like to remind all speakers of the rules of council of state that comments are limited to matters of concern, official action or liberation which may be for city council.",i
Profanity will not be permitted.,i
"After you are called, please restate your name.",i
Provide your neighborhood for the record.,i
"We have one registered speaker, Ms Bernadette Mosley.",p
We cannot hear you at the moment.,i
We cannot hear you at the moment.,i
"We have one registered speaker, Ms Bernadette Mosley.",p
We cannot hear you at the moment.,i
So why don't we go to those in chambers?,i
and we'll come back to Ms Mosley to try to fix whatever problems may be existing.,i
"So if there's anyone in chambers wishing to speak, please come forward at this time.",p
Provide your neighborhood for the record.,i
You'll also be given three minutes to speak.,i
My name is Yvonne F Brown.,p
"I live at 715 Mercer Street, that's at the top of Befford Avenue in the high-rise with 192 apartments.",i
I come today with a very glad heart and very happy to be here to be able to tell you what I'm getting ready to explain today.,i
And then one last thing.,i
"Okay, Wenn, we have comments that we need.",i
"we would like to welcome the next Ludha from the to say: I want to say to the Delta fail, Delta Sigma self, I can't pronounce it.",i
"you see it, you can read it.",i
this is the alumni that was this room full of women all in red.,i
"I wanted to say to them that because of you, these women that were here and that read, I have renewed hope.",i
I give you praise and honor.,i
"now, what it is is.",i
"I say that gins give proclamations every day, every week, and when they get their proclamation, you give them honor and praise.",i
"they walk out, talking, making noise.",i
they don't stay to listen to us.,i
"if Dr Miller is standing, you'll tell him to speak and he says, no, let them go.",i
I should be able to speak without them and you get really ignorant with him.,i
"do you understand that yesterday, when all those beautiful women sat here, the whole, the whole room full of women of all colors, all sizes, who sat and listened to us, the people, for three minutes apiece?",i
it was only about four of us- has 12 minutes.,i
"those women sat and they looked in the eye, whereas I say: this table, we need to get your back to us and make sure that you're doing the right thing and you're doing the right thing.",i
miss gross is there.,i
you're all around her.,i
you don't have to look us in the eye.,i
they should make you sit like they do over at County Council.,i
"you have to look at us, not with the backs to us.",i
"I want you to understand that I am tired, but there was a young white girl.",i
do you remember what she said?,i
she got up.,i
she didn't say her name.,i
I wish I knew her name.,i
she says: I sit here and I'm watching you.,i
