sentence,classification
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.",b
Will the clerk please take the roll?,b
"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.",i
"Thank you, Please rise for the Pledge of Allegiance.",b
Remain standing for a moment of silence.,i
I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,i
"one nation under God, indivisible, with liberty and justice for all.",i
Thank you very much.,i
Our next order of business is to amend the agenda.,b
Is there a motion to amend So moved?,i
"Second, All those in favor say aye, Aye.",i
The agenda has been amended.,i
"Our next order of business is proclamations, and we have one today.",b
"So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.",i
"Yes, bone injury site Area.",i
Come to the left hereabugeesalawebs dinner.,i
"Mr Hitler, Mr, Yes, It will be tight, but you can all fit.",i
"Ms Oliver, Is everybody in a red?",i
all in favor?,i
Let's go withteri.,i
everyone already can come forward if they want to come on.,i
"everybody, we can come down here.",i
"it's cramzing morning, ladies, you all look so sharp.",i
can we have the committee up front?,i
committee up front.,i
"there you go, you're good.",i
"before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.",i
"i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.",i
whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,i
"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.",i
"whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.",i
"whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.",i
"whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.",i
