sentence,classification
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 15th 2025.",b
Will the clerk please take the roll?,b
"Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here.",i
Five members present.,i
Thank you very much.,i
May we first have a motion to waive the rules of council.,b
Motion to waive the rules.,i
"Second, All those in favor say aye, Aye, Rules have been waived.",i
Thank you very much.,i
It was 1031.,i
Now please rise for the Pledge of Allegiance.,b
Remain standing for a moment of silence.,i
"Thank you, Thank you, Thank you very much.",i
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i
Thank you very much.,i
Our next order of business is going to be proclamations and I want to start with take your father today to school.,b
"So if all those here for that proclamation, please come forward.",i
"Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?",i
"Yes, sir, Thank you very much, Sir, good to see you.",i
"You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15.",i
"So, before turning it over to Mr Brintley, I just want to thank him.",i
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno.",i
"Mr Brintley, I just want to thank him because when did you start this?",i
So this is now our 27th year of doing this.,i
We've done this every year that I've been on council and it really is a great initiative.,i
"I want to thank Mr Brintley for starting this many, many years ago.",i
I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.,i
"With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks.",i
"Yes, sir, Thank you, Mr President, and thank you, members of council.",i
"Once again, we are always excited.",i
"If I can take a quick moment just to tell you, this is a kickoff.",i
We do this 30 days before the actual date.,i
So in May- somebody give me the date.,i
"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day.",i
"We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools.",i
They have special activities designed to attract men.,i
"Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful.",i
"Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children.",i
"Kids are under attack today, okay, But we need to stand and show that we are together.",i
So this is what this day's about.,i
"Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel.",i
"At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her.",i
But thank you very much.,i
"But first of all we're going to start off with my board director, Mr Dwayne Barker, And Dwayne Barker is going to take a moment to just kind of identify some folks, some of his colleagues, and then we're going to go into a few more things.",i
"Good morning, I'm going to try to go really quick.",i
So we have a couple of organizations that we want to most definitely give it a shout-out to.,i
"So the Northside Youth Athletic Association, REACH Reading is Fundamental Cuts for College- the Carnegie Library of Pittsburgh, the Pittsburgh Pirates, the Pittsburgh Steelers, the Father Collaborative Council, Promise Basketball Camp, BPEC 100, Black Men of Southwestern Pennsylvania, Big Brothers, Big Sisters, New Vision, BAM, Youth Guidance, One Nation Mentoring the Way Organization, Daddy's Hands.",i
"and we've got to give a shout-out to our amazing, beautiful aka Sisters.",i
it's over there representing.,i
"Thank you ladies, Thank you ladies.",i
Shout-out to PPS and early childhood folk that are here.,i
So thank you all for staff.,i
"We have a our president for PPS board, Jane Walker, is here, And we also have our vice, one of our vice presidents.",i
"We have a huge shout-out to Director Tyler Farrell for coming out and representing as well, And shout-out to the mayor, of course.",i
"Thank you, brother, Thank you, Appreciate you, brother, Thank you And every single councilman and councilwoman that stands with us on this day.",i
we totally appreciate y'all opening your doors for us.,i
"And, last but not least, I would like to give a shout-out to Pro-Pell, Pro-Pell, Total School for coming out and representing as well.",i
"Thank you, Thank you.",i
"Thank you, Director Barker.",i
"We did not have, on my quick agenda, an opportunity to have a meeting with you.",i
"I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry.",i
"Thank you, Mr Brentley.",i
"This is a really important season for Pittsburgh Public Schools, with lots of hard work and decisions to be made, but a reminder that men show up When men are called, men show up, And so I'm appreciative of the men- men in this room and the men around this district who, even if they can't show up every day for every parent-teacher conference, we know that they are in the lives of our children and we are integral into for the success.",i
"so, on behalf of the board of directors of Pittsburgh Public Schools, thank you, president Lavelle, thank you, mr Brintley, thank you, mayor Ganey, and best wishes on the rest of the season.",i
"thank you, thank you, mr president, thank you very much and we appreciate all of the in-kind service over the years.",i
"next, remember, this year we're focusing and we're going to continue to follow behind dr Walters, who his focus is on reading and he believes that if you can't read, things can be very difficult.",i
so we constantly are pushing and supporting that and we always have our partners.,i
we have two of our wonderful partners and we have a representative from each and we're asking if they would come to the microphone there and say a few words.,i
"well, representative from RIF, which is reading is fundamental.",i
take a moment please.,i
"my friend Cal, if you can, and then, right with him, is where's our friend from Carnegie Library?",i
"there's, there are hang partners.",i
they here today.,i
"okay, okay, good, Good morning everyone.",i
