rank,label,headline,score_mu,score_sigma,score_95ci
1,C0,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,30.86,1.45,2.85
2,C2,"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee.",30.84,1.52,2.98
3,M2,Untested Sexual Assault Kits to Be Processed,29.96,1.46,2.87
4,C15,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,29.61,1.45,2.84
5,M1,Council Seeks State Assistance in Eliminating the City’s Litter and Illegal Dumpsites,28.89,1.47,2.88
6,C17,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",28.88,1.41,2.77
7,C14,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",28.3,1.34,2.63
8,C16,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",28.18,1.46,2.86
9,C23,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.",27.86,1.37,2.68
10,C26,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",27.81,1.39,2.73
11,C6,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200.",27.79,1.46,2.86
12,C18,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629.",27.67,1.43,2.81
13,C12,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.,27.16,1.44,2.81
14,C8,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs.",26.34,1.4,2.74
15,C1,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,26.27,1.4,2.74
16,C9,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,25.82,1.4,2.75
17,C13,"Council approves $32,750 contract for video production company to create police recruitment videos.",25.65,1.44,2.83
18,M13,Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages,25.5,1.32,2.59
19,C10,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.",25.06,1.46,2.87
20,C29,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.",25.0,1.44,2.82
21,C19,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,24.7,1.35,2.64
22,C31,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.",24.66,1.43,2.81
23,M0,"Mayor's Vision Zero Plan Appears on Track, Still Awaiting Traffic Fatality Data",24.52,1.42,2.78
24,C33,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",24.5,1.38,2.7
25,C3,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,24.35,1.36,2.67
26,C7,City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.,23.96,1.42,2.79
27,C24,Council delays decision on agreement allowing community college students to train with city emergency medical services.,23.82,1.41,2.77
28,C28,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",23.22,1.48,2.89
29,C30,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,23.19,1.38,2.71
30,C27,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,22.79,1.44,2.81
31,M25,City Receives State Funds for New Lighting Along Penn Ave in East Liberty,22.78,1.44,2.83
32,C21,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.",22.74,1.3,2.55
33,C5,Council refers resolution to approve sewage plan for South Side townhome development to committee.,22.66,1.49,2.92
34,C4,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,22.21,1.48,2.9
35,C25,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,22.09,1.46,2.85
36,C11,Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,21.93,1.59,3.11
37,C22,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",21.65,1.41,2.76
38,C20,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",21.34,1.43,2.8
39,C32,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",20.74,1.48,2.9
