rank,label,headline,score_mu,score_sigma,score_95ci
1,C1,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",30.36,1.6,3.13
2,C24,Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.,29.91,1.68,3.3
3,C18,"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.",29.81,1.59,3.12
4,C14,"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.",29.01,1.59,3.12
5,C10,Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.,28.6,1.54,3.01
6,C16,Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,28.07,1.46,2.85
7,C26,Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.,28.0,1.58,3.09
8,M12,Portable Restroom Back Payment Sparks Inquiries into the Prevalence of Closed Public Restrooms in City Parks,27.95,1.49,2.92
9,C25,"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.",27.67,1.47,2.89
10,C28,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",27.3,1.48,2.89
11,C22,"Council approves $32,750 contract for company to create police recruitment videos using grant money.",27.25,1.55,3.04
12,C23,"Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.",27.23,1.47,2.89
13,C20,Council approves over $1 million in additional federal funding for Liberty Avenue road project.,26.63,1.56,3.06
14,C15,"Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025.",25.92,1.48,2.89
15,C8,"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program.",25.42,1.49,2.92
16,C12,"Council approves $35,025 for portable restroom rentals and servicing in city parks.",25.09,1.52,2.98
17,C30,Council approves agreement allowing Pittsburgh and PennDOT to share equipment and services at no cost.,25.07,1.47,2.88
18,C2,Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,24.96,1.43,2.81
19,C29,"Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000.",24.83,1.51,2.96
20,M22,Council to Approve Funding for Recruitment Video Aimed at Addressing Police Shortages,24.43,1.51,2.96
21,M26,14 Acre Bakery Square Expansion Moves Forward with Two Key Amendments Ready for Public Hearing,24.37,1.5,2.94
22,C17,Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.,24.27,1.42,2.79
23,C27,Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.,23.83,1.43,2.79
24,C6,"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending.",23.22,1.47,2.88
25,C7,"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.",23.06,1.46,2.85
26,C19,Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.,22.64,1.55,3.04
27,C0,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",22.61,1.52,2.98
28,C9,City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,22.28,1.47,2.87
29,C5,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",21.85,1.6,3.14
30,C21,"Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.",21.72,1.59,3.12
31,M10,Open-Ended Professional Services Contracts Add 27 Unspecified New Vendors,21.04,1.55,3.04
32,C13,"Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software.",20.65,1.53,3.0
33,C3,"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.",20.5,1.59,3.11
34,C4,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",20.19,1.59,3.11
35,C11,"Council approves $13,500 purchase of diagnostic tool to repair city vehicles.",19.65,1.63,3.2
