rank,label,headline,score_mu,score_sigma,score_95ci
1,G23,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,43.32,2.76,5.41
2,G18,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",41.56,2.79,5.46
3,G5,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,39.15,2.77,5.43
4,G3,"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",37.3,2.67,5.23
5,G17,City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,37.01,2.5,4.9
6,G6,"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",33.53,2.37,4.65
7,G19,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,32.48,2.31,4.53
8,G10,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,32.29,2.28,4.47
9,G15,Council approves a public hearing to gather resident ideas on the city's trash problem.,31.59,2.3,4.51
10,G11,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,31.14,2.29,4.49
11,G9,"City to pay $72,500 for overdue 811 utility call debts.",29.02,2.25,4.42
12,G14,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,26.84,2.27,4.44
13,G22,Council approves expanding the residential permit parking area in the South Side Flats.,25.13,2.2,4.31
14,G13,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,24.11,2.1,4.12
15,G1,Legislation introduced to expand residential permit parking in the South Side Flats.,23.68,2.39,4.69
16,G4,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,23.2,2.32,4.54
17,G2,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,21.69,2.42,4.75
18,G7,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",21.62,2.3,4.52
19,G26,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.",21.01,2.25,4.41
20,G21,A city committee recommends allowing residential parking permit signs in some non-residential areas.,20.43,2.15,4.21
21,G25,Council recommends a sewage plan update for a new townhome development on the South Side.,18.45,2.36,4.63
22,G20,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,16.61,2.44,4.79
23,G0,Council introduces legislation to clarify rules for posting residential parking permit signs.,15.41,2.82,5.52
24,G24,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,12.13,2.71,5.31
25,G8,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",10.13,2.83,5.55
26,G16,Council committee recommends canceling a property sale and refunding the buyer's hand money.,8.65,2.91,5.71
27,G12,"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",6.07,3.11,6.09
