rank,label,headline,score_mu,score_sigma,score_95ci
1,G25,Legislation to increase paid sick days for workers advances to a public hearing.,46.06,2.73,5.36
2,G13,"$37,000 grant approved for old sexual assault case investigations.",40.49,2.15,4.22
3,G21,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,40.45,2.13,4.18
4,G0,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,40.28,3.22,6.3
5,G19,City grants ALCOSAN underground land access for a major sewer project.,39.54,2.1,4.12
6,G24,"City approves $40,000 contract for immigration legal services.",39.27,2.14,4.2
7,G27,Six new bus shelters will be built in Hazelwood at no cost to the city.,36.68,2.13,4.18
8,G20,Council schedules hearing on aging public safety vehicles.,36.01,2.12,4.16
9,G14,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",34.0,2.06,4.04
10,G12,"Council approves sale of 14 city-owned lots in Larimer for $26,677.",33.18,2.04,3.99
11,G15,New ordinance clarifies which streets and at what times residential parking permits will be enforced.,32.87,2.01,3.95
12,G26,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,30.09,1.98,3.88
13,G17,Council approves sewer connection for new Walnut McKee Apartments.,29.93,2.02,3.97
14,G16,More streets in the South Side Flats added to residential permit parking zone.,29.08,1.98,3.88
15,G11,City Council rescinds sale of 136 Bodkin Street.,28.21,2.01,3.94
16,G9,Council designates Donny's Place historic over owner and commission objections.,27.39,2.04,3.99
17,G8,Proposed ordinance would allow residents to create native plant gardens.,26.99,2.05,4.02
18,G6,City seeks temporary construction easements for the Smithfield Street repair project.,26.32,2.02,3.97
19,G2,City's official sewage plan to be updated for new Hermitage Street development.,24.63,2.17,4.26
20,G7,Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,23.08,2.16,4.23
21,G18,Council approves sewer plan for new Josephine Street Townhomes.,20.6,2.48,4.85
22,G5,Council proposes eleven contracts with five vendors for on-call special events services.,20.56,2.17,4.25
23,G29,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,18.61,2.43,4.76
24,G22,Council holds proposed sale of Itin Street property for one week.,18.53,2.32,4.56
25,G23,"$33,292 transfer for council staff tuition reimbursement is held for six weeks.",15.72,2.5,4.91
26,G3,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",14.82,2.41,4.72
27,G10,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,13.71,2.68,5.26
28,G1,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,11.35,2.82,5.52
29,G4,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",10.43,3.1,6.07
30,G28,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,6.25,3.27,6.41
