rank,label,headline,score_mu,score_sigma,score_95ci
1,C0,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,42.57,3.36,6.59
2,C20,"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.",41.58,2.16,4.23
3,C21,Council holds public hearing on bill to reduce minimum lot sizes for residential development.,41.26,2.19,4.3
4,C25,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,39.84,2.18,4.27
5,C24,"Council approves $40,000 contract with law firm for immigration legal services.",38.78,2.15,4.21
6,C13,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.",38.75,2.16,4.23
7,C12,City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,36.76,2.08,4.08
8,C19,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.",36.17,2.1,4.11
9,C27,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,34.37,2.11,4.13
10,C29,Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,32.17,2.08,4.07
11,C8,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,31.94,2.06,4.04
12,C26,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,31.13,2.06,4.03
13,C14,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.",29.62,2.04,4.01
14,C16,Council expands residential permit parking program to more South Side Flats streets.,29.49,2.09,4.1
15,C18,Council approves sewage plan revision for South Side townhome development at no cost to the City.,27.81,2.09,4.09
16,C6,Council authorizes temporary construction easements on city property for Smithfield Street repair project.,27.27,1.98,3.89
17,C17,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,25.84,2.08,4.08
18,C9,Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,25.59,2.09,4.1
19,C2,Council considers sewage plan revision for Hermitage Street development at no cost to city.,23.89,2.14,4.2
20,C5,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",23.83,2.05,4.02
21,C10,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,22.96,2.27,4.46
22,C7,Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,21.52,2.23,4.36
23,C11,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,20.18,2.43,4.77
24,C23,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks.",18.0,2.49,4.88
25,C15,Council passes ordinance clarifying rules for posting residential parking permit signs.,16.91,2.33,4.57
26,C22,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",16.44,2.47,4.85
27,C4,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",13.5,2.71,5.32
28,C3,"Council transfers $10,000 from salaries to City Clerk's office for professional services.",12.69,2.82,5.52
29,C1,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,9.53,2.87,5.63
30,C28,Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,9.09,3.01,5.89
