rank,label,headline,score_mu,score_sigma,score_95ci
1,C0,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,43.11,3.22,6.32
2,C21,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,39.98,2.96,5.79
3,C31,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,34.65,2.36,4.62
4,C17,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,34.21,2.54,4.98
5,C7,City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.,33.15,2.26,4.43
6,C2,"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee.",32.22,2.39,4.69
7,C14,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.,31.66,2.24,4.4
8,C6,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200.",30.11,2.06,4.04
9,C3,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,28.96,2.16,4.24
10,C1,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,28.94,2.12,4.15
11,C16,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",27.65,1.98,3.89
12,C28,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,25.8,1.96,3.85
13,C20,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629.",25.54,1.95,3.83
14,C18,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",25.27,1.86,3.64
15,C19,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",24.15,1.93,3.77
16,C25,Council delays decision on agreement allowing community college students to train with city emergency medical services.,22.56,1.85,3.63
17,C32,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.",21.33,1.84,3.61
18,C15,"Council approves $32,750 contract for video production company to create police recruitment videos.",19.73,1.83,3.58
19,C12,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.",19.47,1.84,3.61
20,C11,Council receives Mayor Gainey's annual Vision Zero traffic safety report.,19.33,1.83,3.58
21,C9,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,18.37,1.82,3.57
22,C34,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",17.16,1.78,3.49
23,C8,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs.",16.7,1.84,3.6
24,C4,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,16.45,2.0,3.93
25,C33,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",16.2,1.73,3.4
26,C27,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",16.11,1.83,3.58
27,C30,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.",14.84,1.88,3.69
28,C26,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,14.6,1.89,3.7
29,C13,Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,12.73,1.94,3.8
30,C5,Council refers resolution to approve sewage plan for South Side townhome development to committee.,11.42,2.12,4.15
31,C22,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",9.62,1.98,3.89
32,C29,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",8.63,2.09,4.09
33,C24,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.",8.61,2.08,4.08
34,C23,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",7.4,2.15,4.22
35,C10,"City Council receives weekly grants office status update for April 4, 2025.",4.71,2.4,4.7
