rank,label,headline,score_mu,score_sigma,score_95ci
1,C23,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,41.43,2.52,4.94
2,C5,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,41.36,2.75,5.38
3,C18,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",39.72,2.52,4.95
4,C10,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,39.62,2.52,4.94
5,C26,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",35.49,2.31,4.52
6,C17,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,35.39,2.4,4.69
7,C15,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,32.65,2.28,4.47
8,C14,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,31.42,2.13,4.18
9,C4,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,30.81,2.31,4.52
10,C6,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",30.76,2.34,4.59
11,C3,"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",30.73,2.26,4.43
12,C2,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,29.84,2.26,4.43
13,C22,Council approves expansion of residential permit parking program in South Side Flats.,27.54,2.22,4.35
14,C20,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,26.33,2.18,4.28
15,C13,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",25.31,2.18,4.28
16,C19,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",22.4,2.03,3.98
17,C21,Council committee approves changes to residential parking permit signage rules.,21.49,2.18,4.27
18,C25,Council approves sewage plan revision for South Side townhome development at no cost to the city.,20.32,2.21,4.34
19,C7,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",20.28,2.33,4.57
20,C12,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",19.68,2.28,4.48
21,C11,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",19.09,2.26,4.43
22,C24,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,17.93,2.24,4.4
23,C1,Council refers resolution to expand South Side Flats residential permit parking area to committee.,16.93,2.56,5.01
24,C0,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,15.43,2.8,5.49
25,C9,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",13.79,2.65,5.2
26,C8,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",9.19,3.12,6.12
27,C16,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",7.17,3.25,6.36
