agenda_segment,matched_legislation,true_headline,combined_segment,claude_headline,gemini_headline,openai_headline
"Roll Call
Present 8 - Council Member Charland, Council Member Coghill, Council Member Gross, Council Member Lavelle, Council Member Mosley, Council Member Strassburger, Council Member Warwick, and Council Member Wilson
Absent 1 - Council Member Kail-Smith",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
Pledge of Allegiance,NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
Motion to Amend the Agenda,NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"Proclamation 2025-1695
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Michele Wazny for her dedicated service to the Carnegie Library of Pittsburgh and congratulate her upon her retirement; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Thursday, April 3, 2025 to be ""Michele Wazny Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 171","title
WHEREAS, Michele Wazny, affectionately known by many as “Maggie,” has dedicated an extraordinary 54 years of service to the Carnegie Library of Pittsburgh; and,
  body
WHEREAS, she began her journey in 1971 as a teenager at the Main Library in Oakland, and for the past 32 years has been a cherished presence at CLP-Mt. Washington, faithfully serving the community; and,
  WHEREAS, Maggie has demonstrated unwavering dedication to literacy and learning, always staying current with popular and meaningful books to recommend to patrons, and generously offering tours of the CLP-Mt. Washington branch, sharing its rich history with visitors; and,
  WHEREAS, generations of community members who once visited the library as children now return with their own families, warmly recognizing and reconnecting with Michele, a beloved figure in the neighborhood; and,
  WHEREAS, a proud resident of Mt. Washington for over 60 years, Maggie shared her life there with her late husband David, a local barber, further embedding her legacy in the fabric of the community; and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Michele Wazny for her dedicated service to the Carnegie Library of Pittsburgh and congratulate her upon her retirement; and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Thursday, April 3, 2025 to be “Michele Wazny Day” in the City of Pittsburgh.",NO_HEADLINE,"**Section of meeting agenda:**
Proclamation 2025-1695
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Michele Wazny for her dedicated service to the Carnegie Library of Pittsburgh and congratulate her upon her retirement; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Thursday, April 3, 2025 to be ""Michele Wazny Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 171

**Section of meeting legislation:**
title

WHEREAS, Michele Wazny, affectionately known by many as “Maggie,” has dedicated an extraordinary 54 years of service to the Carnegie Library of Pittsburgh; and,

 

body

WHEREAS, she began her journey in 1971 as a teenager at the Main Library in Oakland, and for the past 32 years has been a cherished presence at CLP-Mt. Washington, faithfully serving the community; and,

 

WHEREAS, Maggie has demonstrated unwavering dedication to literacy and learning, always staying current with popular and meaningful books to recommend to patrons, and generously offering tours of the CLP-Mt. Washington branch, sharing its rich history with visitors; and,

 

WHEREAS, generations of community members who once visited the library as children now return with their own families, warmly recognizing and reconnecting with Michele, a beloved figure in the neighborhood; and,

 

WHEREAS, a proud resident of Mt. Washington for over 60 years, Maggie shared her life there with her late husband David, a local barber, further embedding her legacy in the fabric of the community; and,

 

NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Michele Wazny for her dedicated service to the Carnegie Library of Pittsburgh and congratulate her upon her retirement; and,

 

BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Thursday, April 3, 2025 to be “Michele Wazny Day” in the City of Pittsburgh.

 





**Section of meeting transcript:**
NO_TRANSCRIPT
","City Council declares April 3, 2025 as ""Michele Wazny Day"" to honor retiring Carnegie Library employee's 54 years of service.","Council honors retiring library employee Michele Wazny and declares ""Michele Wazny Day.""","City Council honors Michele Wazny with retirement recognition and declares April 3, 2025 as ""Michele Wazny Day"""
"Proclamation 2025-1696
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 1, 2025 to be ""Delta Sigma Theta Sorority Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER LAVELLE AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 172","title
WHEREAS, the City of Pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the Pittsburgh Alumnae Chapter of Delta Sigma Theta Sorority, Incorporated, and its members, as they commemorate Delta Days in Pittsburgh 2025; and,
  body
WHEREAS, Delta Sigma Theta Sorority, Incorporated was founded on January 13, 1913, by twenty-two visionary collegiate women of African-American descent at Howard University, who committed themselves to the principles of scholarship, sisterhood, and service; and,
  WHEREAS, for more than a century, Delta Sigma Theta Sorority, Inc. has remained at the forefront of social change, guided by its Five-Point Programmatic Thrust, which focuses on Economic Development, Educational Development, International Awareness and Involvement, Physical and Mental Health, and SOCIAL ACTION; and,
  WHEREAS, the Pittsburgh Alumnae Chapter, chartered in 1927, has for nearly a century demonstrated, through its members, unwavering dedication to advancing the public good, meeting the evolving needs of the community through innovative programming, bold advocacy, and a steadfast commitment to social justice; and,
  WHEREAS, Delta Days in Pittsburgh serves as an extension of a nationally recognized tradition that engages Delta members in meaningful dialogue with civic leaders at every level of government-including the United States Capitol, state legislatures, and the United Nations-and reflects Delta Sigma Theta Sorority, Inc.’s continued mission to promote leadership, advocacy, and empowerment to effect social change and policies; and,
  WHEREAS, Delta Sigma Theta Sorority, Inc. boasts an international membership exceeding 350,000 women of distinction, with more than 275 members belonging to the Pittsburgh Alumnae Chapter. These members have made notable contributions to civic life, education, health equity, and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift;
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 1, 2025 to be “Delta Sigma Theta Sorority Day” in the City of Pittsburgh.",NO_HEADLINE,"**Section of meeting agenda:**
Proclamation 2025-1696
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 1, 2025 to be ""Delta Sigma Theta Sorority Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER LAVELLE AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 172

**Section of meeting legislation:**
title

WHEREAS, the City of Pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the Pittsburgh Alumnae Chapter of Delta Sigma Theta Sorority, Incorporated, and its members, as they commemorate Delta Days in Pittsburgh 2025; and,

 

body

WHEREAS, Delta Sigma Theta Sorority, Incorporated was founded on January 13, 1913, by twenty-two visionary collegiate women of African-American descent at Howard University, who committed themselves to the principles of scholarship, sisterhood, and service; and,

 

WHEREAS, for more than a century, Delta Sigma Theta Sorority, Inc. has remained at the forefront of social change, guided by its Five-Point Programmatic Thrust, which focuses on Economic Development, Educational Development, International Awareness and Involvement, Physical and Mental Health, and SOCIAL ACTION; and,

 

WHEREAS, the Pittsburgh Alumnae Chapter, chartered in 1927, has for nearly a century demonstrated, through its members, unwavering dedication to advancing the public good, meeting the evolving needs of the community through innovative programming, bold advocacy, and a steadfast commitment to social justice; and,

 

WHEREAS, Delta Days in Pittsburgh serves as an extension of a nationally recognized tradition that engages Delta members in meaningful dialogue with civic leaders at every level of government-including the United States Capitol, state legislatures, and the United Nations-and reflects Delta Sigma Theta Sorority, Inc.’s continued mission to promote leadership, advocacy, and empowerment to effect social change and policies; and,

 

WHEREAS, Delta Sigma Theta Sorority, Inc. boasts an international membership exceeding 350,000 women of distinction, with more than 275 members belonging to the Pittsburgh Alumnae Chapter. These members have made notable contributions to civic life, education, health equity, and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift;

 

NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby declare April 1, 2025 to be “Delta Sigma Theta Sorority Day” in the City of Pittsburgh.

 






**Section of meeting transcript:**
Our next order of business is proclamations, and we have one today. So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward. Yes, bone injury site Area. Come to the left hereabugeesalawebs dinner. Mr Hitler, Mr, Yes, It will be tight, but you can all fit. Ms Oliver, Is everybody in a red? all in favor? Let's go withteri. everyone already can come forward if they want to come on. everybody, we can come down here. it's cramzing morning, ladies, you all look so sharp. can we have the committee up front? committee up front. there you go, you're good. before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city. i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days. whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025. whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service. whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action. whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice. whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies. whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter. these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift. And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh. May we have a motion So moved. Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you. I believe let's see All right, here we go, Thank you. I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor. Receiving this proclamation from the City of Pittsburgh is not just a reminder. a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve. This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization. We will take this recognition as a source of motivation, reaffirming and a source of hope. Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you. Hi, I'm Tracy. HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee. Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight. that said it over. We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can. Thank you So, so much. Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy. together we can continue to build a better Pittsburgh. I thank you. I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do. okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together. so I just want to remind members of that. if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second. nope, nope, they're still. they're still organizing. we gotta, we gotta. yeah, you can't see us, we can't see you there. we go, all right, look at me, keep smiling, smiling, you won't you? you, Yeah, Yeah, Oh man, I got like a smudge. Thank you, Strong group.
","Pittsburgh City Council declares April 1, 2025 as ""Delta Sigma Theta Sorority Day"" to honor the organization's community service.","City Council proclaims April 1, 2025, as ‘Delta Sigma Theta Sorority Day’.","City Council declares April 1, 2025, as Delta Sigma Theta Sorority Day in Pittsburgh"
"Proclamation 2025-1698
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Shamika Zyhier and commend her for her dedicated service in helping others; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2, 2025 to be ""Shamika Zyhier Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 173","title
WHEREAS, Dr. Shamika Zyhier is a professor of nursing at Robert Morris University with 20 years of experience in the clinical field. She comes with diverse experience in the nursing field as a critical care clinician specializing in cardiovascular, thoracic, and open-heart transplant surgery patient care; and, 
  body
WHEREAS, before beginning her nursing career, Dr. Zyhier worked as an accounting associate at the United Negro College Fund in New York City. Upon relocating to Pittsburgh, she transitioned into the tech industry, holding roles as a software programmer, systems analyst, and database administrator. She later served as director of operations for an underground line locating company, overseeing services across Pennsylvania, West Virginia, New York, New Jersey, Texas, South Dakota, and Missouri for 18 years; and, 
  WHEREAS, she earned two undergraduate degrees before pursuing nursing-one in accounting from the City University of New York and another in software programming from the Community College of Allegheny County. Following the events of September 11, 2001, she returned to school and obtained her nursing diploma from the West Penn Hospital School of Nursing; and,
  WHEREAS, she went on to earn her Bachelor of Science in Nursing (BSN) from Clarion University, followed by a Master of Science in Nursing (MSN) with a focus in Education from Robert Morris University. She later completed her Ph.D. in Instructional Management and Leadership, also at Robert Morris University; and,
  WHEREAS, Shamika aligns her learning and mentoring with the work of Marion Wright Edelman which encourages us to use, “education for improving the lives of others and leaving your community and world better than you found it”; and,
  WHEREAS, she celebrates her life with Sharif Allah Zyhier, her husband of 50 years, and their 7 children, 16 grandchildren, and 3 great grandchildren; and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Shamika Zyhier and commend her for her dedicated service in helping others; and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2, 2025 to be “Shamika Zyhier Day” in the City of Pittsburgh.",NO_HEADLINE,"**Section of meeting agenda:**
Proclamation 2025-1698
NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Shamika Zyhier and commend her for her dedicated service in helping others; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2, 2025 to be ""Shamika Zyhier Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 173

**Section of meeting legislation:**
title

WHEREAS, Dr. Shamika Zyhier is a professor of nursing at Robert Morris University with 20 years of experience in the clinical field. She comes with diverse experience in the nursing field as a critical care clinician specializing in cardiovascular, thoracic, and open-heart transplant surgery patient care; and, 

 

body

WHEREAS, before beginning her nursing career, Dr. Zyhier worked as an accounting associate at the United Negro College Fund in New York City. Upon relocating to Pittsburgh, she transitioned into the tech industry, holding roles as a software programmer, systems analyst, and database administrator. She later served as director of operations for an underground line locating company, overseeing services across Pennsylvania, West Virginia, New York, New Jersey, Texas, South Dakota, and Missouri for 18 years; and, 

 

WHEREAS, she earned two undergraduate degrees before pursuing nursing-one in accounting from the City University of New York and another in software programming from the Community College of Allegheny County. Following the events of September 11, 2001, she returned to school and obtained her nursing diploma from the West Penn Hospital School of Nursing; and,

 

WHEREAS, she went on to earn her Bachelor of Science in Nursing (BSN) from Clarion University, followed by a Master of Science in Nursing (MSN) with a focus in Education from Robert Morris University. She later completed her Ph.D. in Instructional Management and Leadership, also at Robert Morris University; and,

 

WHEREAS, Shamika aligns her learning and mentoring with the work of Marion Wright Edelman which encourages us to use, “education for improving the lives of others and leaving your community and world better than you found it”; and,

 

WHEREAS, she celebrates her life with Sharif Allah Zyhier, her husband of 50 years, and their 7 children, 16 grandchildren, and 3 great grandchildren; and,

 

NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Shamika Zyhier and commend her for her dedicated service in helping others; and,

 

BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2, 2025 to be “Shamika Zyhier Day” in the City of Pittsburgh.

 



**Section of meeting transcript:**
be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh. May we have a motion to approve So moved. Second, All those in favor say aye, Aye, Any opposed. Both proclamations have been approved.
","Council declares April 2, 2025 as ""Shamika Zyhier Day"" to honor nursing professor's service to the community.",Council honors nursing professor Shamika Zyhier with a dedicated day.,"Council declares April 2, 2025, as Shamika Zyhier Day to honor her service"
"Public Comments
Dr. Ronald Lynn Miller, Burnadette from Beechview, Special Agent Sunshine, BJ Sampson, Yvonne F. Brown",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"Presentation of Papers - Resolution 2025-1681
Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24).
Read and referred to the Committee on Intergovernmental and Educational Affairs","title
Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24).
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24) chargeable to and payable from 11101.102200.53.53101.2025.",NO_HEADLINE,"**Section of meeting agenda:**
Presentation of Papers - Resolution 2025-1681
Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24).
Read and referred to the Committee on Intergovernmental and Educational Affairs

**Section of meeting legislation:**
title

Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24).

 

body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed FIFTY-TWO THOUSAND DOLLARS, NINE HUNDRED, SIXTY-TWO DOLLARS and TWENTY-FOUR CENTS ($52,962.24) chargeable to and payable from 11101.102200.53.53101.2025.



**Section of meeting transcript:**
Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962. 24.
","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Presentation of Papers - Resolution 2025-1682
Resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission (""PUC"") in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls.
Read and referred to the Committee on Intergovernmental and Educational Affairs","title
Resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission (“PUC”) in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of the Pennsylvania Public Utility Commission (“PUC”) in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls, chargeable to and payable from 11101.600000.53.53101.2025.",NO_HEADLINE,"**Section of meeting agenda:**
Presentation of Papers - Resolution 2025-1682
Resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission (""PUC"") in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls.
Read and referred to the Committee on Intergovernmental and Educational Affairs

**Section of meeting legislation:**
title

Resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission (“PUC”) in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls.

 

body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of the Pennsylvania Public Utility Commission (“PUC”) in the amount of Seventy-Two Thousand Five Hundred Dollars ($72,500.00) for delinquent debts owed by the City of Pittsburgh for 811 damage prevention calls, chargeable to and payable from 11101.600000.53.53101.2025.



**Section of meeting transcript:**
Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000. 00.
","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","City to pay $72,500 for overdue damage prevention debts.","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"Presentation of Papers - Resolution 2025-1683
Resolution repealing Resolution 366 of 2019, effective June 14, 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345 (Council District No. 5) at no cost to the City.
Read and referred to the Committee on Intergovernmental and Educational Affairs","title
Resolution repealing Resolution 366 of 2019, effective June 14, 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345 (Council District No. 5) at no cost to the City.
  body
Whereas, the Council of the City of Pittsburgh gave approval for the acquisition by the Urban Redevelopment Authority of Pittsburgh in Resolution 366 of 2019.
  Whereas, the Urban Redevelopment Authority seeks to repeal the resolution authorizing its acquisition of the above parcel.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     Resolution 366 of 2019 is hereby repealed.
  Section 2.                     That the Urban Redevelopment Authority of Pittsburgh authorizes the relinquishment of its interest over property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345, with said repeal.",NO_HEADLINE,"**Section of meeting agenda:**
Presentation of Papers - Resolution 2025-1683
Resolution repealing Resolution 366 of 2019, effective June 14, 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345 (Council District No. 5) at no cost to the City.
Read and referred to the Committee on Intergovernmental and Educational Affairs

**Section of meeting legislation:**
title

Resolution repealing Resolution 366 of 2019, effective June 14, 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345 (Council District No. 5) at no cost to the City.

 

body

Whereas, the Council of the City of Pittsburgh gave approval for the acquisition by the Urban Redevelopment Authority of Pittsburgh in Resolution 366 of 2019.

 

Whereas, the Urban Redevelopment Authority seeks to repeal the resolution authorizing its acquisition of the above parcel.

 

 

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     Resolution 366 of 2019 is hereby repealed.

 

Section 2.                     That the Urban Redevelopment Authority of Pittsburgh authorizes the relinquishment of its interest over property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 56-B, Lot 345, with said repeal.



**Section of meeting transcript:**
Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County. Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.
",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
