agenda_segment,matched_legislation,true_headline,combined_segment,claude_headline,gemini_headline,openai_headline
"Roll Call
Present 8 - Council Member Charland, Council Member Coghill, Council Member Gross, Council Member Mosley, Council Member Kail-Smith, Council Member Strassburger, Council Member Warwick, and Council Member Wilson
Absent 1 - Council Member Lavelle",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
Pledge of Allegiance,NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
Motion to Amend the Agenda,NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"Proclamations
2025-1737 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Bessie Lee Harris proud mother, activist, union member, and lively host for her commitment to community, serving our youth, and has been a proud resident of Pittsburgh for over 56 years and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Friday, May 2nd, 2025, to be ""Bessie Lee Harris Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER MOSLEY AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 217","title
WHEREAS, Bessie Lee Harris, born Saturday, May 2, 1925, in North Wilkesboro, North Carolina.  Mrs. Harris graduated from Lincoln Heights High School, Class of 1943. Shortly after graduation, Bessie moved north and made her home in Pittsburgh, Pennsylvania and,
  body
WHEREAS, Bessie loved to travel and was an avid card player - famously hosting lively card parties. Bessie is a multitalented woman who earned a Food Service Supervisor Training certificate from Pittsburgh Public Schools on January 31, 1969. As a proud union member and activist, Mrs. Harris stood at the forefront of critical change - including marching in rallies at the Pittsburgh Federal Building and demanding equity for black health insurance coverage. Bessie’s efforts weren’t without recognition, her courage and unwavering featured her in the Pittsburgh Post-Gazette and,
  WHEREAS, Bessie is the proud mother of 5 children - 4 daughters (one now deceased) and 1 son. Mrs. Harris has been blessed with 10 grandchildren and 19 great-grandchildren. Her family includes Barbara (deceased), Zinna, Gay, JoAnn, and Ray, and a host of beautiful descendants who carry her spirit forward and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Bessie Lee Harris proud mother, activist, union member, and lively host for her commitment to community, serving our youth, and has been a proud resident of Pittsburgh for over 56 years and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Friday, May 2nd, 2025, to be “Bessie Lee Harris Day” in the City of Pittsburgh.",NO_HEADLINE,"**Section of meeting agenda:**
Proclamations
2025-1737 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Bessie Lee Harris proud mother, activist, union member, and lively host for her commitment to community, serving our youth, and has been a proud resident of Pittsburgh for over 56 years and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Friday, May 2nd, 2025, to be ""Bessie Lee Harris Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER MOSLEY AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 217

**Section of meeting legislation:**
title

WHEREAS, Bessie Lee Harris, born Saturday, May 2, 1925, in North Wilkesboro, North Carolina.  Mrs. Harris graduated from Lincoln Heights High School, Class of 1943. Shortly after graduation, Bessie moved north and made her home in Pittsburgh, Pennsylvania and,

 

body

WHEREAS, Bessie loved to travel and was an avid card player - famously hosting lively card parties. Bessie is a multitalented woman who earned a Food Service Supervisor Training certificate from Pittsburgh Public Schools on January 31, 1969. As a proud union member and activist, Mrs. Harris stood at the forefront of critical change - including marching in rallies at the Pittsburgh Federal Building and demanding equity for black health insurance coverage. Bessie’s efforts weren’t without recognition, her courage and unwavering featured her in the Pittsburgh Post-Gazette and,

 

WHEREAS, Bessie is the proud mother of 5 children - 4 daughters (one now deceased) and 1 son. Mrs. Harris has been blessed with 10 grandchildren and 19 great-grandchildren. Her family includes Barbara (deceased), Zinna, Gay, JoAnn, and Ray, and a host of beautiful descendants who carry her spirit forward and,

 

NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Bessie Lee Harris proud mother, activist, union member, and lively host for her commitment to community, serving our youth, and has been a proud resident of Pittsburgh for over 56 years and,

 

BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Friday, May 2nd, 2025, to be “Bessie Lee Harris Day” in the City of Pittsburgh.



**Section of meeting transcript:**
be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh. Is there a motion to approve? So moved. Second. All in favor: Aye. Those opposed: vote no. Aye, Aye. Proclamation is approved.
","Council declares May 2, 2025 as ""Bessie Lee Harris Day"" to honor longtime Pittsburgh resident and activist.",Council recognizes longtime activist Bessie Lee Harris with 'Bessie Lee Harris Day'.,"City Council declares May 2, 2025, as Bessie Lee Harris Day in Pittsburgh"
"Public Comments
Dr. Ronald Lynn Miller, Yvonne F. Brown, Pete Schmidt, Jacob Poole, Bernadette Mosey",NO_LEGISLATION,NO_HEADLINE,"**Section of meeting agenda:**
Public Comments
Dr. Ronald Lynn Miller, Yvonne F. Brown, Pete Schmidt, Jacob Poole, Bernadette Mosey

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
NO_TRANSCRIPT
",Five residents provide public comments to city council.,Five members of the public address the City Council.,Public comments heard from five community members at city council meeting
"Presentation of Papers
COUNCILPERSON ROBERT CHARLAND PRESENTS:
2025-1738 Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.
SPONSOR /S: COUNCIL MEMBER CHARLAND
A motion was made that this matter be Waived under Rule 8. The motion carried.
Read and referred to the Committee on Land Use and Economic Development","title
Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.
  body
The Council of the City of Pittsburgh hereby enacts as follows:
  Section 1.                     § 549.09 Posting Signs Indicating Restrictions; Enforcement.
  (a) Upon adoption of a resolution establishing a residential parking permit program, the Director of the Department of Mobility and Infrastructure shall cause appropriate signs to be erected in the residential parking permit area indicating prominently thereon the parking restrictions associated therewith and, if any area is a hybrid residential parking permit area, the parking rates and time limits associated therewith.
  (b) Signs may only be posted and regulations enforced on blockfaces in the residential parking permit area that are located in a Residential Zoning District per Chapter 903 of the Code or in any of the following zoning districts: H, UPR-B, RIV-RM, GPR, OPR-A, or RP. Signs may only be posted and regulations enforced in non-residential zoning districts in Hybrid RPP areas or at the discretion of the Parking Permit Officer.
  (c) Residential parking permit areas with dynamic hours shall not have enforcement between 2:00 a.m. and 8:00 a.m. on any day. No residential parking permit areas with a dynamic hours designation shall be enforced on Sundays between 2:00 a.m. and 11:59 p.m. Evening enforcement shall only occur in a Parking Enhancement District per Section 546 of City Code.title
Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.
  body
The Council of the City of Pittsburgh hereby enacts as follows:
  Section 1.                     § 549.09 Posting Signs Indicating Restrictions; Enforcement.
  (a) Upon adoption of a resolution establishing a residential parking permit program, the Director of the Department of Mobility and Infrastructure shall cause appropriate signs to be erected in the residential parking permit area indicating prominently thereon the parking restrictions associated therewith and, if any area is a hybrid residential parking permit area, the parking rates and time limits associated therewith.
  (b) Signs may only be posted and regulations enforced on blockfaces in the residential parking permit area that are located in a Residential Zoning District per Chapter 903 of the Code or in any of the following zoning districts: H, UPR-B, RIV-RM, GPR, OPR-A, or RP. Signs may only be posted and regulations enforced in non-residential zoning districts in Hybrid RPP areas or at the discretion of the Parking Permit Officer.
  (c) Residential parking permit areas with dynamic hours shall not have enforcement between 2:00 a.m. and 8:00 a.m. on any day. No residential parking permit areas with a dynamic hours designation shall be enforced on Sundays between 2:00 a.m. and 11:59 p.m. Evening enforcement shall only occur in a Parking Enhancement District per Section 546 of City Code.",NO_HEADLINE,"**Section of meeting agenda:**
Presentation of Papers
COUNCILPERSON ROBERT CHARLAND PRESENTS:
2025-1738 Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.
SPONSOR /S: COUNCIL MEMBER CHARLAND
A motion was made that this matter be Waived under Rule 8. The motion carried.
Read and referred to the Committee on Land Use and Economic Development

**Section of meeting legislation:**
title

Ordinance amending the Pittsburgh Code of Ordinances Title 5, Traffic; Article VII, Parking; Chapter 549, Residential Parking Permit Program to clarify the regulations for posting of signage.

 

body

The Council of the City of Pittsburgh hereby enacts as follows:

 

Section 1.                     § 549.09 Posting Signs Indicating Restrictions; Enforcement.

 

(a) Upon adoption of a resolution establishing a residential parking permit program, the Director of the Department of Mobility and Infrastructure shall cause appropriate signs to be erected in the residential parking permit area indicating prominently thereon the parking restrictions associated therewith and, if any area is a hybrid residential parking permit area, the parking rates and time limits associated therewith.

 

(b) Signs may only be posted and regulations enforced on blockfaces in the residential parking permit area that are located in a Residential Zoning District per Chapter 903 of the Code or in any of the following zoning districts: H, UPR-B, RIV-RM, GPR, OPR-A, or RP. Signs may only be posted and regulations enforced in non-residential zoning districts in Hybrid RPP areas or at the discretion of the Parking Permit Officer.

 

(c) Residential parking permit areas with dynamic hours shall not have enforcement between 2:00 a.m. and 8:00 a.m. on any day. No residential parking permit areas with a dynamic hours designation shall be enforced on Sundays between 2:00 a.m. and 11:59 p.m. Evening enforcement shall only occur in a Parking Enhancement District per Section 546 of City Code.



**Section of meeting transcript:**
NO_TRANSCRIPT
",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council introduces legislation to clarify rules for posting residential parking permit signs.,Council refers ordinance clarifying residential parking permit signage rules to committee
"2025-1739 Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area 'KK' in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.
SPONSOR /S: COUNCIL MEMBER CHARLAND
A motion was made that this matter be Waived under Rule 8. The motion carried.
Read and referred to the Committee on Land Use and Economic Development","title
Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area ‘KK’ in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.
  body
Whereas, the Office of Council District 3 submitted a request to the Department of Mobility and Infrastructure (DOMI) to expand RPP Area KK,
  Whereas, the DOMI has completed a parking study and analysis and recommended specific blocks for addition to Area KK,
    Be it resolved, that Resolution No. 98-2017 is hereby amended as follows:
  Section 1.                     As provided by the Pittsburgh City Code, Chapter 549, entitled ""Residential Parking Permit Program,"" a parking management plan is adopted as follows:
  For the Area bounded by: Bingham Street, from S. 16th Street to S. 17th Street; East Carson Street, from S. 15th Street to S. 16th Street (odd numbered addresses only) and from S. 17th Street to S. 25th Street (odd number addresses only); Fox Way, from S. 18th Street to S. 24th Street Fox Way, from S. 17th Street to S. 24th Street; Merriman Street, from S. 17th Street to S. 22nd Street; Sidney Street, from S. 17th Street to S. 25th Street; Wharton Street, from S. 17th Street to S. 22nd Street; Wrights Way, from S. 17th Street to S. 25th Street; S. 16th Street, from Muriel Street to its terminus S. 16th Street, from East Carson Street to its terminus; S. 17th Street, from Sidney Street to its terminus S. 17th Street, from Bingham Street to its terminus; S. 18th Street, from E. Carson Street to the South Side Park Riverfront Park Access Road; S. 19th Street, from E. Carson Street to Merriman Street; S. 20th Street, from E. Carson Street to Wharton Street; S. 21st Street, from Sidney Street to Fox Way; S. 22nd Street, from Sidney Street to Wharton Street; S. 23rd Street, from E. Carson Street to Fox Way Wharton Street; S. 24th Street, from E. Carson Street to Fox Way; S. 25th Street, from E. Carson Street to Sidney Street (even number addresses only).title
Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area ‘KK’ in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.
  body
Whereas, the Office of Council District 3 submitted a request to the Department of Mobility and Infrastructure (DOMI) to expand RPP Area KK,
  Whereas, the DOMI has completed a parking study and analysis and recommended specific blocks for addition to Area KK,
    Be it resolved, that Resolution No. 98-2017 is hereby amended as follows:
  Section 1.                     As provided by the Pittsburgh City Code, Chapter 549, entitled ""Residential Parking Permit Program,"" a parking management plan is adopted as follows:
  For the Area bounded by: Bingham Street, from S. 16th Street to S. 17th Street; East Carson Street, from S. 15th Street to S. 16th Street (odd numbered addresses only) and from S. 17th Street to S. 25th Street (odd number addresses only); Fox Way, from S. 18th Street to S. 24th Street Fox Way, from S. 17th Street to S. 24th Street; Merriman Street, from S. 17th Street to S. 22nd Street; Sidney Street, from S. 17th Street to S. 25th Street; Wharton Street, from S. 17th Street to S. 22nd Street; Wrights Way, from S. 17th Street to S. 25th Street; S. 16th Street, from Muriel Street to its terminus S. 16th Street, from East Carson Street to its terminus; S. 17th Street, from Sidney Street to its terminus S. 17th Street, from Bingham Street to its terminus; S. 18th Street, from E. Carson Street to the South Side Park Riverfront Park Access Road; S. 19th Street, from E. Carson Street to Merriman Street; S. 20th Street, from E. Carson Street to Wharton Street; S. 21st Street, from Sidney Street to Fox Way; S. 22nd Street, from Sidney Street to Wharton Street; S. 23rd Street, from E. Carson Street to Fox Way Wharton Street; S. 24th Street, from E. Carson Street to Fox Way; S. 25th Street, from E. Carson Street to Sidney Street (even number addresses only).",NO_HEADLINE,"**Section of meeting agenda:**
2025-1739 Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area 'KK' in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.
SPONSOR /S: COUNCIL MEMBER CHARLAND
A motion was made that this matter be Waived under Rule 8. The motion carried.
Read and referred to the Committee on Land Use and Economic Development

**Section of meeting legislation:**
title

Resolution amending Resolution 98 of 2017, providing for the implementation of a Residential Permit Parking Program (RPPP) Area ‘KK’ in the South Side Flats to expand the streets pursuant to Pittsburgh City Code Chapter 549.

 

body

Whereas, the Office of Council District 3 submitted a request to the Department of Mobility and Infrastructure (DOMI) to expand RPP Area KK,

 

Whereas, the DOMI has completed a parking study and analysis and recommended specific blocks for addition to Area KK,

 

 

Be it resolved, that Resolution No. 98-2017 is hereby amended as follows:

 

Section 1.                     As provided by the Pittsburgh City Code, Chapter 549, entitled ""Residential Parking Permit Program,"" a parking management plan is adopted as follows:

 

For the Area bounded by: Bingham Street, from S. 16th Street to S. 17th Street; East Carson Street, from S. 15th Street to S. 16th Street (odd numbered addresses only) and from S. 17th Street to S. 25th Street (odd number addresses only); Fox Way, from S. 18th Street to S. 24th Street Fox Way, from S. 17th Street to S. 24th Street; Merriman Street, from S. 17th Street to S. 22nd Street; Sidney Street, from S. 17th Street to S. 25th Street; Wharton Street, from S. 17th Street to S. 22nd Street; Wrights Way, from S. 17th Street to S. 25th Street; S. 16th Street, from Muriel Street to its terminus S. 16th Street, from East Carson Street to its terminus; S. 17th Street, from Sidney Street to its terminus S. 17th Street, from Bingham Street to its terminus; S. 18th Street, from E. Carson Street to the South Side Park Riverfront Park Access Road; S. 19th Street, from E. Carson Street to Merriman Street; S. 20th Street, from E. Carson Street to Wharton Street; S. 21st Street, from Sidney Street to Fox Way; S. 22nd Street, from Sidney Street to Wharton Street; S. 23rd Street, from E. Carson Street to Fox Way Wharton Street; S. 24th Street, from E. Carson Street to Fox Way; S. 25th Street, from E. Carson Street to Sidney Street (even number addresses only).

 



**Section of meeting transcript:**
Councilperson Sharland presents Bill Number 1730. Thank you, Bill Number 1730. bill number 1739, Resolution 1739 ordinance amending the Pittsburgh Code of Ordinances, Title V- Traffic. Article VII, Parking, Chapter 549, residential parking permit program to clarify the regulations for posting of signage. And.
Bill Number 1739 resolution amending resolution 98 of 2017 providing for the implementation of a residential permit parking program, area KK in the Southside Flats to expand the streets pursuant to Pittsburgh City Code, Chapter 549. Councilman Coghill, Chair of Public Safety and Wellness. Can I waive Rule 8 or motion to waive Rule 8 on those? Motion to waive Rule 8 on On both bills, On both bills. Second, Is there a second? All those in favor of waiving the Rules of Counsel Aye, Aye Rules will be waived so that these Bill 1738 and 1739 appears on tomorrow's Standing Committee's agenda. Thank you, Thank you. Thank you.
",Council refers resolution to expand South Side Flats residential permit parking area to committee.,Legislation introduced to expand residential permit parking in the South Side Flats.,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
"COUNCILMAN KHARI MOSLEY PRESENTS:
2025-1727 Resolution authorizing The Pittsburgh Land Bank to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 30th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 33-K, Lot 128 (219 Reifert Street - Council District No. 3), at no cost to the City.
Read and referred to the Committee on Intergovernmental and Educational Affairs","Title
Resolution authorizing The Pittsburgh Land Bank to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 30th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 33-K, Lot 128 (219 Reifert Street - Council District No. 3), at no cost to the City.
  Body
Whereas, The Pittsburgh Land Bank desires to acquire all the City’s right, title and interest, if any, in and to the above-listed publicly-owned property in the 30th Ward of the City of Pittsburgh, for the sum of $1.00 plus all necessary and incidental expenses in connection with such acquisition.
  Whereas, the Council of the City of Pittsburgh desires to give approval to the acquisition by The Pittsburgh Land Bank.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     That The Pittsburgh Land Bank is hereby authorized to acquire, for the sum of $1.00 plus all necessary and incidental expenses in connection with such acquisition, all the City's right, title and interest, if any, in and to the publicly-owned property known as Block 33-K, Lot 128 (219 Reifert Street), in the 30th Ward of the City of Pittsburgh.
  Section 2.                     That The Pittsburgh Land Bank is authorized to incur said necessary and incidental expenses in connection with said acquisition.",NO_HEADLINE,"**Section of meeting agenda:**
COUNCILMAN KHARI MOSLEY PRESENTS:
2025-1727 Resolution authorizing The Pittsburgh Land Bank to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 30th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 33-K, Lot 128 (219 Reifert Street - Council District No. 3), at no cost to the City.
Read and referred to the Committee on Intergovernmental and Educational Affairs

**Section of meeting legislation:**
Title

Resolution authorizing The Pittsburgh Land Bank to acquire all the City's Right, Title and Interest, if any, in and to the Publicly-Owned property in the 30th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County as Block 33-K, Lot 128 (219 Reifert Street - Council District No. 3), at no cost to the City.

 

Body

Whereas, The Pittsburgh Land Bank desires to acquire all the City’s right, title and interest, if any, in and to the above-listed publicly-owned property in the 30th Ward of the City of Pittsburgh, for the sum of $1.00 plus all necessary and incidental expenses in connection with such acquisition.

 

Whereas, the Council of the City of Pittsburgh desires to give approval to the acquisition by The Pittsburgh Land Bank.

 

 

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     That The Pittsburgh Land Bank is hereby authorized to acquire, for the sum of $1.00 plus all necessary and incidental expenses in connection with such acquisition, all the City's right, title and interest, if any, in and to the publicly-owned property known as Block 33-K, Lot 128 (219 Reifert Street), in the 30th Ward of the City of Pittsburgh.

 

Section 2.                     That The Pittsburgh Land Bank is authorized to incur said necessary and incidental expenses in connection with said acquisition.






**Section of meeting transcript:**
councilman Mosley presents bill number 1727 resolution authorizing the Pittsburgh land bank to acquire all the city's right, title and interests, if any, in into the publicly owned property in the 30th Ward of the city of Pittsburgh, designated in the deed registry office of Allegheny County as block 33 K, lot 128, 219 Reifert Street. council, district number three, at no cost to the city.
",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
"COUNCILWOMAN ERIKA STRASSBURGER PRESENTS:
2025-1728 Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.
(Executive Session held 4/15/25)
Read and referred to the Committee on Finance and Law","Title
Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.
(Executive Session held 4/15/25)
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, charging and payable from 11101.108000.53.53517.2025.
  Section 2.                     Said Agreement or Agreements shall be in a from approved by the City Solicitor.","$40,000 Contract with Law Firm for “Immigration Matters” Authorized","**Section of meeting agenda:**
COUNCILWOMAN ERIKA STRASSBURGER PRESENTS:
2025-1728 Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.
(Executive Session held 4/15/25)
Read and referred to the Committee on Finance and Law

**Section of meeting legislation:**
Title

Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.

(Executive Session held 4/15/25)

 

Body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, charging and payable from 11101.108000.53.53517.2025.

 

Section 2.                     Said Agreement or Agreements shall be in a from approved by the City Solicitor.

 





**Section of meeting transcript:**
council person Strasburger presents bill number 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with Fragman del Rey, Burnson and lowly LLP in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters you.
","Council refers $40,000 immigration legal services contract to Finance and Law Committee.","Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.","Council authorizes $40,000 contract for immigration legal services with Fragomen firm"
"COUNCILWOMAN BARBARA WARWICK PRESENTS:
2025-1729 Resolution authorizing the Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono, LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the city.
Read and referred to the Committee on Public Works and Infrastructure","Title
Resolution authorizing the Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono, LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the city.
  Body
WHEREAS, Almono, LP, and the City’s Department of Mobility and Infrastructure seek to facilitate creation of new bus shelters in the City located on Second Avenue and Blair Street; and
  WHEREAS, Almono, LP, will design, construct, own, and maintain the new bus shelters for a designated period of time, subject to further extensions; and
  WHEREAS, the City’s Department of Mobility and Infrastructure has approved the location and placement of the new bus shelters; and
  WHEREAS, the City and Almono, LP, wish to enter into an ownership and maintenance agreement to memorialize terms and conditions concerning the new bus shelters.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, are authorized to enter into an ownership and maintenance agreement with Almono, LP concerning six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the City.",NO_HEADLINE,"**Section of meeting agenda:**
COUNCILWOMAN BARBARA WARWICK PRESENTS:
2025-1729 Resolution authorizing the Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono, LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the city.
Read and referred to the Committee on Public Works and Infrastructure

**Section of meeting legislation:**
Title

Resolution authorizing the Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono, LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the city.

 

Body

WHEREAS, Almono, LP, and the City’s Department of Mobility and Infrastructure seek to facilitate creation of new bus shelters in the City located on Second Avenue and Blair Street; and

 

WHEREAS, Almono, LP, will design, construct, own, and maintain the new bus shelters for a designated period of time, subject to further extensions; and

 

WHEREAS, the City’s Department of Mobility and Infrastructure has approved the location and placement of the new bus shelters; and

 

WHEREAS, the City and Almono, LP, wish to enter into an ownership and maintenance agreement to memorialize terms and conditions concerning the new bus shelters.

 

 

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, are authorized to enter into an ownership and maintenance agreement with Almono, LP concerning six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the City.



**Section of meeting transcript:**
presents bill number 1729 resolution authorizing the mayor and the director of the department of mobility and infrastructure, on behalf of the city of Pittsburgh, to enter into an ownership and maintenance agreement with Albano LP for six bus shelters to be constructed along Second Avenue and Blair Street to correct building and maintenance of the Elevable käyt pani consists of a window, architecture scrapers, an Avenue and Blair Street in a Hazelwood neighborhood at no cost to the city.
",Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
